noise_type,model,auc,acc,cm,n_test
garbled,LR,0.9993,0.9926,"[[248, 2], [0, 22]]",272
garbled,RF,0.999,0.9926,"[[249, 1], [1, 21]]",272
duplicate,LR,0.9762,0.9498,"[[271, 5], [10, 13]]",299
duplicate,RF,0.9757,0.9465,"[[273, 3], [13, 10]]",299
unrelated,LR,0.9148,0.9449,"[[248, 8], [7, 9]]",272
unrelated,RF,0.885,0.9228,"[[247, 9], [12, 4]]",272
keyword,LR,0.5649,0.9375,"[[255, 1], [16, 0]]",272
keyword,RF,0.5593,0.9375,"[[255, 1], [16, 0]]",272
mixed,LR,0.8507,0.9211,"[[245, 10], [12, 12]]",279
mixed,RF,0.8346,0.9498,"[[253, 2], [12, 12]]",279
