noise_type,model,auc,acc,cm,n_test
garbled,LR,0.9996,0.9926,"[[248, 2], [0, 22]]",272
garbled,RF,0.9996,0.9963,"[[249, 1], [0, 22]]",272
duplicate,LR,0.9739,0.9532,"[[273, 3], [11, 12]]",299
duplicate,RF,0.9728,0.9498,"[[274, 2], [13, 10]]",299
unrelated,LR,0.9233,0.9412,"[[247, 9], [7, 9]]",272
unrelated,RF,0.8866,0.9301,"[[249, 7], [12, 4]]",272
keyword,LR,0.531,0.9375,"[[255, 1], [16, 0]]",272
keyword,RF,0.5507,0.9375,"[[255, 1], [16, 0]]",272
mixed,LR,0.8495,0.9211,"[[245, 10], [12, 12]]",279
mixed,RF,0.8271,0.9534,"[[253, 2], [11, 13]]",279
