dataset,baseline,n,n_noise,auc
duplicate,el2n_proxy,16072,1461,0.5870466640910894
duplicate,grand_proxy,16072,1461,0.5103512158874797
duplicate,tracin_proxy,16072,1461,0.5344122744010061
duplicate,loss_rank,16072,1461,0.6658485999995034
garbled,el2n_proxy,14611,1461,0.9827934926595929
garbled,grand_proxy,14611,1461,0.8128262583833668
garbled,tracin_proxy,14611,1461,0.5846508069112514
garbled,loss_rank,14611,1461,0.9397212701337434
keyword,el2n_proxy,14611,1461,0.6821835140783306
keyword,grand_proxy,14611,1461,0.5693181918733717
keyword,tracin_proxy,14611,1461,0.5656468432736574
keyword,loss_rank,14611,1461,0.618799405584487
mixed,el2n_proxy,14819,1400,0.6401423088797333
mixed,grand_proxy,14819,1400,0.6033911937231856
mixed,tracin_proxy,14819,1400,0.5073343234007218
mixed,loss_rank,14819,1400,0.5638679963378153
near_duplicate,el2n_proxy,14611,1461,0.6569526575630525
near_duplicate,grand_proxy,14611,1461,0.5645526138407205
near_duplicate,tracin_proxy,14611,1461,0.6068569108610956
near_duplicate,loss_rank,14611,1461,0.6172261823897898
template,el2n_proxy,14611,1461,0.9314668582121209
template,grand_proxy,14611,1461,0.7648977600112429
template,tracin_proxy,14611,1461,0.8774777419497557
template,loss_rank,14611,1461,0.9108851429954482
truncation,el2n_proxy,14611,1461,0.684211553626221
truncation,grand_proxy,14611,1461,0.7163858808098001
truncation,tracin_proxy,14611,1461,0.5804294157603391
truncation,loss_rank,14611,1461,0.5177087936540159
unrelated,el2n_proxy,14611,1461,0.770697735547557
unrelated,grand_proxy,14611,1461,0.6350012361968859
unrelated,tracin_proxy,14611,1461,0.5582009821909573
unrelated,loss_rank,14611,1461,0.6319891839278791
