a,b,family_a,family_b,same_family,abs_spearman
text_nn_sim,loss_mean,text,loss,False,0.5663857002529764
text_nn_sim,loss_last,text,loss,False,0.557901375012883
text_nn_sim,loss_std,text,loss,False,0.0336376913182624
text_nn_sim,loss_slope,text,loss,False,0.044461296862980254
text_nn_sim,loss_min,text,loss,False,0.5600533432604804
text_nn_sim,converge_epoch,text,loss,False,0.3844386368491549
text_nn_sim,loss_curvature,text,loss,False,0.45950468774559783
text_nn_sim,loss_rank,text,loss,False,0.5684471131767158
text_nn_sim,grad_norm_mean,text,grad,False,0.0625193488568191
text_nn_sim,grad_norm_last,text,grad,False,0.37713313160381584
text_nn_sim,grad_norm_std,text,grad,False,0.05817650217419962
text_nn_sim,grad_norm_slope,text,grad,False,0.41248330024272967
text_nn_sim,cos_ref_mean,text,cos,False,0.09632461980216717
text_nn_sim,cos_ref_last,text,cos,False,0.19304803192376344
text_nn_sim,cos_ref_std,text,cos,False,0.13284645685595994
text_nn_sim,cos_ref_slope,text,cos,False,0.05324379186258141
text_nn_sim,grad_norm_cv,text,grad,False,0.21346817179590633
text_nn_sim,update_contrib_mean,text,update,False,0.05181872202587523
loss_mean,loss_last,loss,loss,True,0.8927992813837207
loss_mean,loss_std,loss,loss,True,0.19631231931158652
loss_mean,loss_slope,loss,loss,True,0.2108970162565817
loss_mean,loss_min,loss,loss,True,0.8944954897002342
loss_mean,converge_epoch,loss,loss,True,0.7440364964545552
loss_mean,loss_curvature,loss,loss,True,0.8897703780183154
loss_mean,loss_rank,loss,loss,True,0.9872943277767239
loss_mean,grad_norm_mean,loss,grad,False,0.22942290205713964
loss_mean,grad_norm_last,loss,grad,False,0.6272216289911012
loss_mean,grad_norm_std,loss,grad,False,0.031040436530647492
loss_mean,grad_norm_slope,loss,grad,False,0.5970649434386841
loss_mean,cos_ref_mean,loss,cos,False,0.1802510928897916
loss_mean,cos_ref_last,loss,cos,False,0.2355832612172441
loss_mean,cos_ref_std,loss,cos,False,0.2029499238702537
loss_mean,cos_ref_slope,loss,cos,False,0.0029910132077212224
loss_mean,grad_norm_cv,loss,grad,False,0.3392334505264299
loss_mean,update_contrib_mean,loss,update,False,0.20916780887137215
loss_last,loss_std,loss,loss,True,0.12882546916197576
loss_last,loss_slope,loss,loss,True,0.11151166455629037
loss_last,loss_min,loss,loss,True,0.9986871015239464
loss_last,converge_epoch,loss,loss,True,0.5506160364207392
loss_last,loss_curvature,loss,loss,True,0.6336419245218106
loss_last,loss_rank,loss,loss,True,0.9243567080614539
loss_last,grad_norm_mean,loss,grad,False,0.010286835369495534
loss_last,grad_norm_last,loss,grad,False,0.6557834254716547
loss_last,grad_norm_std,loss,grad,False,0.2889473699784133
