feature,auc
text_nn_sim,0.6498511584210461
loss_mean,0.5470863731015879
loss_last,0.5015914648341032
loss_std,0.5961741275682431
loss_slope,0.5997936693111313
loss_min,0.5020903849093132
converge_epoch,0.6083073636406824
loss_curvature,0.61211487491639
loss_rank,0.5389450156199076
grad_norm_mean,0.5571676269277237
grad_norm_last,0.5150244547420688
grad_norm_std,0.5128198550099459
grad_norm_slope,0.5401425313609853
cos_ref_mean,0.5032986945662585
cos_ref_last,0.570299224324021
cos_ref_std,0.535418935170176
cos_ref_slope,0.5457592504073044
cos_global_mean,0.5092450945551453
cos_global_last,0.5291261476756564
cos_global_std,0.5322754904932526
cos_global_slope,0.5223318353001897
grad_norm_cv,0.5321618927284713
update_contrib_mean,0.5527361680857918
max_token_loss,0.5015949743516398
frac_hard,0.5060122295367524
user_loss,0.5136043452241332
entropy,0.5001339125605152
token_loss_skew,0.505890542792243
token_loss_kurt,0.5006979541944196
n_hard,0.5058001466216208
hard_loss_mean,0.5012786079220696
hard_loss_max,0.5015949743516398
hard_pos_peak,0.5072346844706005
hard_pos_std_mean,0.5103079490575035
hard_id_uniq,0.5062986307934528
hard_pos_jaccard,0.5074024800271213
