dataset,route,n,n_noise,full_auc,full_auc_dir,k,added,auc,auc_dir,features
duplicate,rf,16072,1461,0.9841794769779325,0.9841794769779325,1,text_nn_sim,0.9378066725251915,0.9378066725251915,text_nn_sim
duplicate,rf,16072,1461,0.9841794769779325,0.9841794769779325,2,converge_epoch,0.9415605365351816,0.9415605365351816,text_nn_sim+converge_epoch
duplicate,rf,16072,1461,0.9841794769779325,0.9841794769779325,3,cos_ref_mean,0.9452411572745933,0.9452411572745933,text_nn_sim+converge_epoch+cos_ref_mean
duplicate,rf,16072,1461,0.9841794769779325,0.9841794769779325,4,cos_ref_slope,0.96603491476493,0.96603491476493,text_nn_sim+converge_epoch+cos_ref_mean+cos_ref_slope
duplicate,rf,16072,1461,0.9841794769779325,0.9841794769779325,5,cos_ref_last,0.9738726474024919,0.9738726474024919,text_nn_sim+converge_epoch+cos_ref_mean+cos_ref_slope+cos_ref_last
duplicate,rf,16072,1461,0.9841794769779325,0.9841794769779325,6,loss_mean,0.977138824128596,0.977138824128596,text_nn_sim+converge_epoch+cos_ref_mean+cos_ref_slope+cos_ref_last+loss_mean
duplicate,iforest,16072,1461,0.5327433959140514,0.5327433959140514,1,grad_norm_cv,0.6452392272312624,0.6452392272312624,grad_norm_cv
duplicate,iforest,16072,1461,0.5327433959140514,0.5327433959140514,2,cos_ref_last,0.717869053212091,0.717869053212091,grad_norm_cv+cos_ref_last
duplicate,iforest,16072,1461,0.5327433959140514,0.5327433959140514,3,text_nn_sim,0.7440898161591567,0.7440898161591567,grad_norm_cv+cos_ref_last+text_nn_sim
duplicate,iforest,16072,1461,0.5327433959140514,0.5327433959140514,4,loss_rank,0.7634275152317661,0.7634275152317661,grad_norm_cv+cos_ref_last+text_nn_sim+loss_rank
duplicate,iforest,16072,1461,0.5327433959140514,0.5327433959140514,5,loss_slope,0.7682318240628715,0.7682318240628715,grad_norm_cv+cos_ref_last+text_nn_sim+loss_rank+loss_slope
duplicate,iforest,16072,1461,0.5327433959140514,0.5327433959140514,6,loss_mean,0.7461185399821827,0.7461185399821827,grad_norm_cv+cos_ref_last+text_nn_sim+loss_rank+loss_slope+loss_mean
garbled,rf,14611,1461,0.9956991799460237,0.9956991799460237,1,loss_curvature,0.963127890423508,0.963127890423508,loss_curvature
garbled,rf,14611,1461,0.9956991799460237,0.9956991799460237,2,grad_norm_mean,0.9828329728843467,0.9828329728843467,loss_curvature+grad_norm_mean
garbled,rf,14611,1461,0.9956991799460237,0.9956991799460237,3,grad_norm_slope,0.9900432278532074,0.9900432278532074,loss_curvature+grad_norm_mean+grad_norm_slope
garbled,rf,14611,1461,0.9956991799460237,0.9956991799460237,4,loss_std,0.9928188412020518,0.9928188412020518,loss_curvature+grad_norm_mean+grad_norm_slope+loss_std
garbled,rf,14611,1461,0.9956991799460237,0.9956991799460237,5,grad_norm_std,0.993950651020318,0.993950651020318,loss_curvature+grad_norm_mean+grad_norm_slope+loss_std+grad_norm_std
garbled,rf,14611,1461,0.9956991799460237,0.9956991799460237,6,cos_ref_std,0.9947441592950295,0.9947441592950295,loss_curvature+grad_norm_mean+grad_norm_slope+loss_std+grad_norm_std+cos_ref_std
garbled,iforest,14611,1461,0.9323445319758591,0.9323445319758591,1,loss_curvature,0.9584076482850696,0.9584076482850696,loss_curvature
