dataset,route,dropped,n,n_noise,auc,full_auc,delta
duplicate,rf,(none),16072,1461,0.9841794769779325,0.9841794769779325,0.0
duplicate,iforest,(none),16072,1461,0.5327433959140514,0.5327433959140514,0.0
duplicate,rf,text_nn_sim,16072,1461,0.9379256606334544,0.9841794769779325,-0.046253816344478116
duplicate,iforest,text_nn_sim,16072,1461,0.4397522686324251,0.5327433959140514,-0.09299112728162628
duplicate,rf,loss_mean,16072,1461,0.9838266584986484,0.9841794769779325,-0.0003528184792841449
duplicate,iforest,loss_mean,16072,1461,0.5441456421940452,0.5327433959140514,0.011402246279993755
duplicate,rf,loss_last,16072,1461,0.9838243396359085,0.9841794769779325,-0.00035513734202397007
duplicate,iforest,loss_last,16072,1461,0.5537408619826483,0.5327433959140514,0.02099746606859687
duplicate,rf,loss_std,16072,1461,0.9838154155277888,0.9841794769779325,-0.0003640614501436712
duplicate,iforest,loss_std,16072,1461,0.5346060751111965,0.5327433959140514,0.0018626791971451118
duplicate,rf,loss_slope,16072,1461,0.9838517443773785,0.9841794769779325,-0.0003277326005539649
duplicate,iforest,loss_slope,16072,1461,0.5381608214226941,0.5327433959140514,0.005417425508642659
duplicate,rf,loss_min,16072,1461,0.9840226141115868,0.9841794769779325,-0.00015686286634575275
duplicate,iforest,loss_min,16072,1461,0.5510824146772113,0.5327433959140514,0.01833901876315991
duplicate,rf,converge_epoch,16072,1461,0.9840680310292879,0.9841794769779325,-0.00011144594864465063
duplicate,iforest,converge_epoch,16072,1461,0.5741623131775442,0.5327433959140514,0.04141891726349278
duplicate,rf,loss_curvature,16072,1461,0.9842404700948452,0.9841794769779325,6.099311691265541e-05
duplicate,iforest,loss_curvature,16072,1461,0.5326709724434316,0.5327433959140514,-7.242347061975352e-05
duplicate,rf,loss_rank,16072,1461,0.9836665164324686,0.9841794769779325,-0.000512960545463903
duplicate,iforest,loss_rank,16072,1461,0.5377412243810756,0.5327433959140514,0.0049978284670242346
duplicate,rf,grad_norm_mean,16072,1461,0.9837292194178662,0.9841794769779325,-0.0004502575600663361
duplicate,iforest,grad_norm_mean,16072,1461,0.5444877564281567,0.5327433959140514,0.011744360514105323
duplicate,rf,grad_norm_last,16072,1461,0.9840485197902755,0.9841794769779325,-0.00013095718765698816
duplicate,iforest,grad_norm_last,16072,1461,0.5411965640918905,0.5327433959140514,0.008453168177839143
duplicate,rf,grad_norm_std,16072,1461,0.9840167349747415,0.9841794769779325,-0.00016274200319099652
duplicate,iforest,grad_norm_std,16072,1461,0.5256005491441733,0.5327433959140514,-0.007142846769878086
duplicate,rf,grad_norm_slope,16072,1461,0.9837998159057212,0.9841794769779325,-0.0003796610722113236
duplicate,iforest,grad_norm_slope,16072,1461,0.5381262492873011,0.5327433959140514,0.00538285337324973
duplicate,rf,cos_ref_mean,16072,1461,0.9823611840928265,0.9841794769779325,-0.0018182928851060431
duplicate,iforest,cos_ref_mean,16072,1461,0.5394599467055075,0.5327433959140514,0.006716550791456055
duplicate,rf,cos_ref_last,16072,1461,0.9837191710126605,0.9841794769779325,-0.00046030596527202317
duplicate,iforest,cos_ref_last,16072,1461,0.5064186354865355,0.5327433959140514,-0.02632476042751586
duplicate,rf,cos_ref_std,16072,1461,0.9839734729597884,0.9841794769779325,-0.0002060040181440792
duplicate,iforest,cos_ref_std,16072,1461,0.5262479100371201,0.5327433959140514,-0.006495485876931273
duplicate,rf,cos_ref_slope,16072,1461,0.9846611211649817,0.9841794769779325,0.00048164418704921275
duplicate,iforest,cos_ref_slope,16072,1461,0.5559083662272212,0.5327433959140514,0.023164970313169775
duplicate,rf,grad_norm_cv,16072,1461,0.9838349267668012,0.9841794769779325,-0.00034455021113133366
duplicate,iforest,grad_norm_cv,16072,1461,0.5252235348546853,0.5327433959140514,-0.007519861059366084
duplicate,rf,update_contrib_mean,16072,1461,0.9835465679871114,0.9841794769779325,-0.0006329089908211349
duplicate,iforest,update_contrib_mean,16072,1461,0.5474952042873571,0.5327433959140514,0.014751808373305697
garbled,rf,(none),14611,1461,0.9956991799460237,0.9956991799460237,0.0
garbled,iforest,(none),14611,1461,0.9323445319758591,0.9323445319758591,0.0
garbled,rf,text_nn_sim,14611,1461,0.9951676673355142,0.9956991799460237,-0.0005315126105095436
garbled,iforest,text_nn_sim,14611,1461,0.9441087020453203,0.9323445319758591,0.011764170069461177
garbled,rf,loss_mean,14611,1461,0.9955774080464705,0.9956991799460237,-0.00012177189955320245
garbled,iforest,loss_mean,14611,1461,0.9245211493768265,0.9323445319758591,-0.007823382599032591
garbled,rf,loss_last,14611,1461,0.9950769955470886,0.9956991799460237,-0.0006221843989351328
garbled,iforest,loss_last,14611,1461,0.9237726126435615,0.9323445319758591,-0.008571919332297617
garbled,rf,loss_std,14611,1461,0.996127242396088,0.9956991799460237,0.00042806245006421495
garbled,iforest,loss_std,14611,1461,0.9365010162839661,0.9323445319758591,0.004156484308107
garbled,rf,loss_slope,14611,1461,0.9959680722875889,0.9956991799460237,0.0002688923415651301
garbled,iforest,loss_slope,14611,1461,0.931717637016159,0.9323445319758591,-0.0006268949597001416
garbled,rf,loss_min,14611,1461,0.9959927441749101,0.9956991799460237,0.00029356422888637823
garbled,iforest,loss_min,14611,1461,0.9178826419739592,0.9323445319758591,-0.014461890001899902
garbled,rf,converge_epoch,14611,1461,0.9958618114058031,0.9956991799460237,0.0001626314597793499
garbled,iforest,converge_epoch,14611,1461,0.9262757161483749,0.9323445319758591,-0.0060688158274841975
garbled,rf,loss_curvature,14611,1461,0.9957931829597416,0.9956991799460237,9.400301371786934e-05
garbled,iforest,loss_curvature,14611,1461,0.9342176695476561,0.9323445319758591,0.0018731375717969678
garbled,rf,loss_rank,14611,1461,0.9956618077622754,0.9956991799460237,-3.7372183748329846e-05
garbled,iforest,loss_rank,14611,1461,0.9419418440934513,0.9323445319758591,0.009597312117592183
garbled,rf,grad_norm_mean,14611,1461,0.995619542841379,0.9956991799460237,-7.96371046447586e-05
garbled,iforest,grad_norm_mean,14611,1461,0.94022563846316,0.9323445319758591,0.007881106487300893
garbled,rf,grad_norm_last,14611,1461,0.9953341765497354,0.9956991799460237,-0.00036500339628831036
garbled,iforest,grad_norm_last,14611,1461,0.93973246096871,0.9323445319758591,0.007387928992850901
garbled,rf,grad_norm_std,14611,1461,0.995786260257181,0.9956991799460237,8.708031115722825e-05
garbled,iforest,grad_norm_std,14611,1461,0.947840038725494,0.9323445319758591,0.015495506749634957
garbled,rf,grad_norm_slope,14611,1461,0.9957904242887964,0.9956991799460237,9.124434277263394e-05
garbled,iforest,grad_norm_slope,14611,1461,0.9412023641289498,0.9323445319758591,0.008857832153090661
garbled,rf,cos_ref_mean,14611,1461,0.9961528511905227,0.9956991799460237,0.00045367124449890994
garbled,iforest,cos_ref_mean,14611,1461,0.9440661248220527,0.9323445319758591,0.011721592846193563
garbled,rf,cos_ref_last,14611,1461,0.9955222866779616,0.9956991799460237,-0.00017689326806213934
garbled,iforest,cos_ref_last,14611,1461,0.9442664147427539,0.9323445319758591,0.011921882766894765
garbled,rf,cos_ref_std,14611,1461,0.994994131317942,0.9956991799460237,-0.0007050486280817392
garbled,iforest,cos_ref_std,14611,1461,0.9424042598043426,0.9323445319758591,0.010059727828483522
garbled,rf,cos_ref_slope,14611,1461,0.9957241381105186,0.9956991799460237,2.495816449488153e-05
garbled,iforest,cos_ref_slope,14611,1461,0.941647759360613,0.9323445319758591,0.009303227384753865
garbled,rf,grad_norm_cv,14611,1461,0.9950083931262248,0.9956991799460237,-0.0006907868197989497
garbled,iforest,grad_norm_cv,14611,1461,0.946064703846264,0.9323445319758591,0.013720171870404863
garbled,rf,update_contrib_mean,14611,1461,0.9946816988207982,0.9956991799460237,-0.0010174811252255944
garbled,iforest,update_contrib_mean,14611,1461,0.9382190436780891,0.9323445319758591,0.0058745117022299675
keyword,rf,(none),14611,1461,0.6759175573790543,0.6759175573790543,0.0
keyword,iforest,(none),14611,1461,0.5900625906002192,0.5900625906002192,0.0
keyword,rf,text_nn_sim,14611,1461,0.668624698433023,0.6759175573790543,-0.0072928589460313775
keyword,iforest,text_nn_sim,14611,1461,0.5875229997683757,0.5900625906002192,-0.002539590831843408
keyword,rf,loss_mean,14611,1461,0.675820691593601,0.6759175573790543,-9.686578545331503e-05
keyword,iforest,loss_mean,14611,1461,0.5873668485827979,0.5900625906002192,-0.0026957420174212876
keyword,rf,loss_last,14611,1461,0.6736972176461249,0.6759175573790543,-0.002220339732929455
