dataset,method,n,n_noise,auc,p_at_10,random_p,lift
duplicate,zscore_max,951,45,0.6474245768947755,0.0421052631578947,0.0473186119873817,0.8898245614035081
duplicate,zscore_mean,951,45,0.5855776306107432,0.031578947368421,0.0473186119873817,0.6673684210526305
duplicate,iforest,951,45,0.6420407162129017,0.031578947368421,0.0473186119873817,0.6673684210526305
garbled,iforest,904,38,0.9407742798103804,0.3111111111111111,0.0420353982300885,7.401169590643274
garbled,zscore_mean,904,38,0.880910416919898,0.2111111111111111,0.0420353982300885,5.022222222222222
garbled,zscore_max,904,38,0.6707183663546857,0.0222222222222222,0.0420353982300885,0.5286549707602334
keyword,zscore_max,906,40,0.5482390300230946,0.0879120879120879,0.0441501103752759,1.9912087912087928
keyword,iforest,906,40,0.5980080831408776,0.0549450549450549,0.0441501103752759,1.2445054945054945
keyword,zscore_mean,906,40,0.5689087759815242,0.0439560439560439,0.0441501103752759,0.9956043956043952
mixed,iforest,912,44,0.7257017176372015,0.1428571428571428,0.0482456140350877,2.9610389610389607
mixed,zscore_mean,912,44,0.6796187683284458,0.1208791208791208,0.0482456140350877,2.5054945054945046
mixed,zscore_max,912,44,0.6721171973188103,0.0439560439560439,0.0482456140350877,0.9110889110889102
near_duplicate,zscore_mean,906,40,0.5624711316397228,0.0879120879120879,0.0441501103752759,1.9912087912087928
near_duplicate,zscore_max,906,40,0.5222286374133949,0.0769230769230769,0.0441501103752759,1.7423076923076932
near_duplicate,iforest,906,40,0.6096997690531177,0.0769230769230769,0.0441501103752759,1.7423076923076932
template,zscore_mean,906,40,0.8173210161662818,0.0769230769230769,0.0441501103752759,1.7423076923076932
template,iforest,906,40,0.5426963048498845,0.0329670329670329,0.0441501103752759,0.7467032967032958
template,zscore_max,906,40,0.8760825635103926,0.0109890109890109,0.0441501103752759,0.2489010989010971
truncation,zscore_max,905,39,0.6552525611417066,0.1,0.0430939226519337,2.3205128205128207
truncation,zscore_mean,905,39,0.6240599277550779,0.0666666666666666,0.0430939226519337,1.5470085470085453
truncation,iforest,905,39,0.6239711020311483,0.0555555555555555,0.0430939226519337,1.2891737891737878
unrelated,iforest,906,40,0.7536951501154734,0.1098901098901098,0.0441501103752759,2.489010989010989
unrelated,zscore_mean,906,40,0.6056581986143187,0.0659340659340659,0.0441501103752759,1.4934065934065939
unrelated,zscore_max,906,40,0.6174220554272517,0.0439560439560439,0.0441501103752759,0.9956043956043952
