dataset,epochs_used,n_features,n,n_noise,lr_auc,rf_auc,precision_at_base_rate,random_precision
mixed,1,3,14819,1669,0.7844,0.7739,0.4865,0.1126
mixed,2,5,14819,1669,0.7821,0.8135,0.5021,0.1126
mixed,3,6,14819,1669,0.7836,0.8174,0.5219,0.1126
mixed,4,6,14819,1669,0.7855,0.8193,0.5315,0.1126
mixed,5,6,14819,1669,0.7871,0.8275,0.5506,0.1126
near_duplicate,1,3,14611,1461,0.6554,0.584,0.2964,0.1
near_duplicate,2,5,14611,1461,0.6488,0.6441,0.2882,0.1
near_duplicate,3,6,14611,1461,0.6487,0.6412,0.2957,0.1
near_duplicate,4,6,14611,1461,0.6498,0.6306,0.2971,0.1
near_duplicate,5,6,14611,1461,0.6521,0.6301,0.2964,0.1
template,1,3,14611,1461,0.9009,0.9336,0.5948,0.1
template,2,5,14611,1461,0.8983,0.9585,0.629,0.1
template,3,6,14611,1461,0.8972,0.9609,0.6496,0.1
template,4,6,14611,1461,0.8986,0.962,0.6537,0.1
template,5,6,14611,1461,0.8996,0.9626,0.6557,0.1
truncation,1,3,14611,1461,0.6847,0.6261,0.256,0.1
truncation,2,5,14611,1461,0.7352,0.7264,0.3217,0.1
truncation,3,6,14611,1461,0.7636,0.7359,0.3299,0.1
truncation,4,6,14611,1461,0.7635,0.7429,0.3251,0.1
truncation,5,6,14611,1461,0.7634,0.7533,0.3217,0.1
