dataset,model,k_frac,n_dropped,precision,recall,random_precision,lift
mixed,RF,0.05,741,0.8812,0.3913,0.1126,7.82
mixed,RF,0.1,1482,0.6296,0.559,0.1126,5.59
mixed,RF,0.1126,1669,0.589,0.589,0.1126,5.23
mixed,RF,0.2,2964,0.3984,0.7076,0.1126,3.54
near_duplicate,RF,0.05,731,0.3584,0.1793,0.1,3.58
near_duplicate,RF,0.1,1461,0.2663,0.2663,0.1,2.66
near_duplicate,RF,0.2,2922,0.2067,0.4134,0.1,2.07
template,RF,0.05,731,0.959,0.4798,0.1,9.59
template,RF,0.1,1461,0.8193,0.8193,0.1,8.19
template,RF,0.2,2922,0.4952,0.9904,0.1,4.95
truncation,RF,0.05,731,0.4077,0.204,0.1,4.08
truncation,RF,0.1,1461,0.3395,0.3395,0.1,3.4
truncation,RF,0.2,2922,0.27,0.54,0.1,2.7
