tag,dataset,scorer,n,n_noise,n_feats,auc,p_at_10,recall_at_10,p_at_base,random_p,lift_at_10,p_two_tailed_10
extra10,mixed,memo_signed,14819,1669,6,0.4071,0.0978,0.0869,0.1067,0.1126,0.87,0.2493
extra10,mixed,low_loss_only,14819,1669,1,0.4357,0.1174,0.1043,0.1258,0.1126,1.04,0.2243
extra10,mixed,memo_plus_conc,1853,181,7,0.4358,0.1351,0.1381,0.1326,0.0977,1.38,0.2011
extra10,mixed,conc_only,1853,181,1,0.5047,0.173,0.1768,0.1768,0.0977,1.77,0.1957
extra10,near_duplicate,memo_signed,14611,1461,6,0.3608,0.0534,0.0534,0.0534,0.1,0.53,0.1993
extra10,near_duplicate,low_loss_only,14611,1461,1,0.3811,0.0568,0.0568,0.0568,0.1,0.57,0.2007
extra10,near_duplicate,memo_plus_conc,1827,155,7,0.3447,0.0328,0.0387,0.0258,0.0848,0.39,0.1648
extra10,near_duplicate,conc_only,1827,155,1,0.4812,0.071,0.0839,0.0774,0.0848,0.84,0.0659
extra10,template,memo_signed,14611,1461,6,0.8872,0.3546,0.3546,0.3546,0.1,3.55,0.0925
extra10,template,low_loss_only,14611,1461,1,0.8994,0.3614,0.3614,0.3614,0.1,3.61,0.0986
extra10,template,memo_plus_conc,1827,155,7,0.9055,0.4262,0.5032,0.4258,0.0848,5.02,0.1758
extra10,template,conc_only,1827,155,1,0.9994,0.8361,0.9871,0.9677,0.0848,9.85,0.5
extra10,truncation,memo_signed,14611,1461,6,0.3702,0.0082,0.0082,0.0082,0.1,0.08,0.089
extra10,truncation,low_loss_only,14611,1461,1,0.429,0.0034,0.0034,0.0034,0.1,0.03,0.0555
extra10,truncation,memo_plus_conc,1827,155,7,0.3594,0.0109,0.0129,0.0129,0.0848,0.13,0.0879
extra10,truncation,conc_only,1827,155,1,0.5142,0.0546,0.0645,0.0581,0.0848,0.64,0.0495
