tag,dataset,noise_type,feature,n_pos,n_neg,auc,auc_dir,is_new
extra10,mixed,duplicate,n_tokens,50,1672,0.4737,0.5263,True
extra10,mixed,duplicate,top20_share,50,1672,0.438,0.562,True
extra10,mixed,duplicate,top20_share_ok,44,1462,0.417,0.583,True
extra10,mixed,duplicate,top8_share,50,1672,0.5219,0.5219,True
extra10,mixed,duplicate,top8_loss_mean,50,1672,0.4171,0.5829,True
extra10,mixed,duplicate,top32_share,50,1672,0.5059,0.5059,True
extra10,mixed,duplicate,top32_loss_mean,50,1672,0.4248,0.5752,True
extra10,mixed,duplicate,top1_over_top8,50,1672,0.5266,0.5266,True
extra10,mixed,duplicate,hard_gini,50,1672,0.4702,0.5298,True
extra10,mixed,duplicate,top20_share_std,50,1672,0.6436,0.6436,True
extra10,mixed,duplicate,top8_share_std,50,1672,0.554,0.554,True
extra10,mixed,duplicate,frac_hard,50,1672,0.4065,0.5935,False
extra10,mixed,duplicate,max_token_loss,50,1672,0.4059,0.5941,False
extra10,mixed,duplicate,hard_loss_mean,50,1672,0.4248,0.5752,False
extra10,mixed,duplicate,entropy,50,1672,0.4349,0.5651,False
extra10,mixed,garbled,n_tokens,19,1672,0.6497,0.6497,True
extra10,mixed,garbled,top20_share,19,1672,0.1343,0.8657,True
extra10,mixed,garbled,top20_share_ok,13,1462,0.1239,0.8761,True
extra10,mixed,garbled,top8_share,19,1672,0.2413,0.7587,True
extra10,mixed,garbled,top8_loss_mean,19,1672,0.8468,0.8468,True
extra10,mixed,garbled,top32_share,19,1672,0.2645,0.7355,True
extra10,mixed,garbled,top32_loss_mean,19,1672,0.8538,0.8538,True
extra10,mixed,garbled,top1_over_top8,19,1672,0.2221,0.7779,True
extra10,mixed,garbled,hard_gini,19,1672,0.1571,0.8429,True
extra10,mixed,garbled,top20_share_std,19,1672,0.4687,0.5313,True
extra10,mixed,garbled,top8_share_std,19,1672,0.4497,0.5503,True
extra10,mixed,garbled,frac_hard,19,1672,0.9333,0.9333,False
extra10,mixed,garbled,max_token_loss,19,1672,0.8376,0.8376,False
extra10,mixed,garbled,hard_loss_mean,19,1672,0.8538,0.8538,False
extra10,mixed,garbled,entropy,19,1672,0.9314,0.9314,False
extra10,mixed,keyword,n_tokens,22,1672,0.5931,0.5931,True
