dataset,method,n,n_noise,auc,p_at_10,random_p
clean,zscore_max,906,0,,0.0,0.0
mixed,zscore_max,919,88,0.6918690515260911,0.15217391304347827,0.0957562568008705
near_duplicate,zscore_max,906,75,0.5881909346169275,0.10989010989010989,0.08278145695364239
template,zscore_max,906,75,0.8683914961893301,0.054945054945054944,0.08278145695364239
truncation,zscore_max,906,75,0.6096991576413959,0.18681318681318682,0.08278145695364239
clean,zscore_mean,906,0,,0.0,0.0
mixed,zscore_mean,919,88,0.7260967071436386,0.30434782608695654,0.0957562568008705
near_duplicate,zscore_mean,906,75,0.6198796630565584,0.15384615384615385,0.08278145695364239
template,zscore_mean,906,75,0.7004893702366627,0.08791208791208792,0.08278145695364239
truncation,zscore_mean,906,75,0.5981869233854794,0.18681318681318682,0.08278145695364239
clean,iforest,906,0,,0.0,0.0
mixed,iforest,919,88,0.7509025270758124,0.33695652173913043,0.0957562568008705
near_duplicate,iforest,906,75,0.6698275170477337,0.17582417582417584,0.08278145695364239
template,iforest,906,75,0.5887204171680706,0.054945054945054944,0.08278145695364239
truncation,iforest,906,75,0.6006738868832732,0.18681318681318682,0.08278145695364239
