tag,dataset,scorer,n,n_noise,auc,auc_dir,p_at_base,recall_at_base,p_at_10,random_p,lift_at_10,frac_of_supervised
extra10,mixed,zscore_max,14819,1669,0.6687,0.6687,0.1935,0.1935,0.1991,0.1126,1.77,0.778
extra10,mixed,zscore_mean,14819,1669,0.6867,0.6867,0.272,0.272,0.2895,0.1126,2.57,0.799
extra10,mixed,iforest,14819,1669,0.7213,0.7213,0.2972,0.2972,0.3111,0.1126,2.76,0.839
extra10,mixed,mahalanobis,14819,1669,0.7173,0.7173,0.2588,0.2588,0.2665,0.1126,2.37,0.834
extra10,mixed,SUPERVISED_rf,14819,1669,0.8598,0.8598,0.589,0.589,0.6296,0.1126,5.59,1.0
extra10,near_duplicate,zscore_max,14611,1461,0.5803,0.5803,0.193,0.193,0.193,0.1,1.93,0.858
extra10,near_duplicate,zscore_mean,14611,1461,0.6077,0.6077,0.1807,0.1807,0.1807,0.1,1.81,0.899
extra10,near_duplicate,iforest,14611,1461,0.6203,0.6203,0.2252,0.2252,0.2252,0.1,2.25,0.918
extra10,near_duplicate,mahalanobis,14611,1461,0.5602,0.5602,0.1636,0.1636,0.1636,0.1,1.64,0.829
extra10,near_duplicate,SUPERVISED_rf,14611,1461,0.676,0.676,0.2663,0.2663,0.2663,0.1,2.66,1.0
extra10,template,zscore_max,14611,1461,0.4177,0.5823,0.0198,0.0198,0.0198,0.1,0.2,0.423
extra10,template,zscore_mean,14611,1461,0.5626,0.5626,0.024,0.024,0.024,0.1,0.24,0.569
extra10,template,iforest,14611,1461,0.4937,0.5063,0.0301,0.0301,0.0301,0.1,0.3,0.5
extra10,template,mahalanobis,14611,1461,0.6326,0.6326,0.0589,0.0589,0.0589,0.1,0.59,0.64
extra10,template,SUPERVISED_rf,14611,1461,0.9884,0.9884,0.8193,0.8193,0.8193,0.1,8.19,1.0
extra10,truncation,zscore_max,14611,1461,0.5164,0.5164,0.1034,0.1034,0.1034,0.1,1.03,0.655
extra10,truncation,zscore_mean,14611,1461,0.5705,0.5705,0.167,0.167,0.167,0.1,1.67,0.723
extra10,truncation,iforest,14611,1461,0.5822,0.5822,0.2005,0.2005,0.2005,0.1,2.01,0.738
extra10,truncation,mahalanobis,14611,1461,0.5062,0.5062,0.1725,0.1725,0.1725,0.1,1.72,0.642
extra10,truncation,SUPERVISED_rf,14611,1461,0.7885,0.7885,0.3395,0.3395,0.3395,0.1,3.4,1.0
