noise_type,model,auc,acc,cm,n_test
garbled,LR,0.9989,0.9926,"[[261, 1], [1, 9]]",272
garbled,RF,0.9989,0.9963,"[[262, 0], [1, 9]]",272
duplicate,LR,0.9717,0.9755,"[[275, 1], [6, 4]]",286
duplicate,RF,0.9909,0.979,"[[275, 1], [5, 5]]",286
unrelated,LR,0.9555,0.9816,"[[263, 1], [4, 4]]",272
unrelated,RF,0.9034,0.9779,"[[263, 1], [5, 3]]",272
keyword,LR,0.4636,0.9743,"[[265, 0], [7, 0]]",272
keyword,RF,0.5407,0.9743,"[[265, 0], [7, 0]]",272
mixed,LR,0.7366,0.9673,"[[263, 2], [7, 3]]",275
mixed,RF,0.9157,0.9745,"[[264, 1], [6, 4]]",275
