dataset,features,samples,n,n_noise,lr_auc,rf_auc
duplicate,40dim,diag_subsample,951,45,0.9718,0.9662
duplicate,40dim,all_samples,951,45,0.9718,0.9662
duplicate,13traj,diag_subsample,951,45,0.9699,0.9805
duplicate,13traj,all_samples,15342,731,0.9766,0.986
garbled,40dim,diag_subsample,905,38,0.9917,0.9963
garbled,40dim,all_samples,905,38,0.9917,0.9963
garbled,13traj,diag_subsample,905,38,0.9865,0.9928
garbled,13traj,all_samples,14611,731,0.9839,0.9925
keyword,40dim,diag_subsample,906,39,0.6122,0.6728
keyword,40dim,all_samples,906,39,0.6122,0.6728
keyword,13traj,diag_subsample,906,39,0.6851,0.6377
keyword,13traj,all_samples,14611,731,0.7317,0.6967
mixed,40dim,diag_subsample,916,49,0.8923,0.9043
mixed,40dim,all_samples,916,49,0.8923,0.9043
mixed,13traj,diag_subsample,916,49,0.8982,0.8317
mixed,13traj,all_samples,14793,913,0.9121,0.9322
unrelated,40dim,diag_subsample,905,38,0.949,0.9224
unrelated,40dim,all_samples,905,38,0.949,0.9224
unrelated,13traj,diag_subsample,905,38,0.9401,0.9141
unrelated,13traj,all_samples,14611,731,0.9416,0.9477
