dataset,epochs_used,n_features,n,n_noise,lr_auc,rf_auc,precision_at_base_rate,random_precision
duplicate,1,3,15342,731,0.966,0.9424,0.4254,0.0476
duplicate,2,5,15342,731,0.9672,0.9685,0.4596,0.0476
duplicate,3,6,15342,731,0.9688,0.9651,0.4692,0.0476
duplicate,4,6,15342,731,0.9699,0.9686,0.4897,0.0476
duplicate,5,6,15342,731,0.9758,0.9733,0.554,0.0476
garbled,1,3,14611,731,0.9854,0.9745,0.8386,0.05
garbled,2,5,14611,731,0.9813,0.9811,0.8523,0.05
garbled,3,6,14611,731,0.9826,0.9837,0.8454,0.05
garbled,4,6,14611,731,0.9817,0.9855,0.8564,0.05
garbled,5,6,14611,731,0.982,0.9817,0.8605,0.05
keyword,1,3,14611,731,0.7083,0.6234,0.1628,0.05
keyword,2,5,14611,731,0.7103,0.6771,0.1628,0.05
keyword,3,6,14611,731,0.7222,0.6629,0.1888,0.05
keyword,4,6,14611,731,0.7297,0.6728,0.2093,0.05
keyword,5,6,14611,731,0.7333,0.6664,0.2093,0.05
mixed,1,3,14793,913,0.9091,0.8947,0.5509,0.0617
mixed,2,5,14793,913,0.9045,0.9159,0.6298,0.0617
mixed,3,6,14793,913,0.9084,0.9145,0.632,0.0617
mixed,4,6,14793,913,0.9105,0.9149,0.6243,0.0617
mixed,5,6,14793,913,0.9106,0.9156,0.6309,0.0617
unrelated,1,3,14611,731,0.9284,0.8987,0.4802,0.05
unrelated,2,5,14611,731,0.9231,0.9324,0.5116,0.05
unrelated,3,6,14611,731,0.9286,0.9364,0.4993,0.05
unrelated,4,6,14611,731,0.933,0.9356,0.4747,0.05
unrelated,5,6,14611,731,0.934,0.9359,0.4706,0.05
