tag,dataset,noise_type,feature,n_pos,n_neg,auc,auc_dir,is_new
ratio05,duplicate,duplicate,n_tokens,91,1827,0.5289,0.5289,True
ratio05,duplicate,duplicate,top20_share,91,1827,0.5071,0.5071,True
ratio05,duplicate,duplicate,top20_share_ok,81,1597,0.4835,0.5165,True
ratio05,duplicate,duplicate,top8_share,91,1827,0.4858,0.5142,True
ratio05,duplicate,duplicate,top8_loss_mean,91,1827,0.3998,0.6002,True
ratio05,duplicate,duplicate,top32_share,91,1827,0.4725,0.5275,True
ratio05,duplicate,duplicate,top32_loss_mean,91,1827,0.4031,0.5969,True
ratio05,duplicate,duplicate,top1_over_top8,91,1827,0.5318,0.5318,True
ratio05,duplicate,duplicate,hard_gini,91,1827,0.4898,0.5102,True
ratio05,duplicate,duplicate,top20_share_std,91,1827,0.5368,0.5368,True
ratio05,duplicate,duplicate,top8_share_std,91,1827,0.5982,0.5982,True
ratio05,duplicate,duplicate,frac_hard,91,1827,0.3745,0.6255,False
ratio05,duplicate,duplicate,max_token_loss,91,1827,0.3841,0.6159,False
ratio05,duplicate,duplicate,hard_loss_mean,91,1827,0.4031,0.5969,False
ratio05,duplicate,duplicate,entropy,91,1827,0.4141,0.5859,False
ratio05,garbled,garbled,n_tokens,71,1756,0.6903,0.6903,True
ratio05,garbled,garbled,top20_share,71,1756,0.1021,0.8979,True
ratio05,garbled,garbled,top20_share_ok,49,1536,0.0745,0.9255,True
ratio05,garbled,garbled,top8_share,71,1756,0.192,0.808,True
ratio05,garbled,garbled,top8_loss_mean,71,1756,0.8453,0.8453,True
ratio05,garbled,garbled,top32_share,71,1756,0.246,0.754,True
ratio05,garbled,garbled,top32_loss_mean,71,1756,0.8591,0.8591,True
ratio05,garbled,garbled,top1_over_top8,71,1756,0.1595,0.8405,True
ratio05,garbled,garbled,hard_gini,71,1756,0.155,0.845,True
ratio05,garbled,garbled,top20_share_std,71,1756,0.4546,0.5454,True
ratio05,garbled,garbled,top8_share_std,71,1756,0.4714,0.5286,True
