dataset,method,n,n_noise,auc,p_at_10,random_p
clean,zscore_max,906,0,,0.0,0.0
duplicate,zscore_max,951,45,0.6433406916850626,0.031578947368421054,0.0473186119873817
garbled,zscore_max,905,38,0.7434741698537,0.1,0.041988950276243095
keyword,zscore_max,906,39,0.5490048206311182,0.04395604395604396,0.04304635761589404
mixed,zscore_max,916,49,0.6402325636136807,0.06521739130434782,0.05349344978165939
unrelated,zscore_max,905,38,0.5327202088265647,0.011111111111111112,0.041988950276243095
clean,zscore_mean,906,0,,0.0,0.0
duplicate,zscore_mean,951,45,0.596149129261712,0.031578947368421054,0.0473186119873817
garbled,zscore_mean,905,38,0.946731014387179,0.32222222222222224,0.041988950276243095
keyword,zscore_mean,906,39,0.6091444119125781,0.07692307692307693,0.04304635761589404
mixed,zscore_mean,916,49,0.6579337617399901,0.11956521739130435,0.05349344978165939
unrelated,zscore_mean,905,38,0.6098767680446792,0.06666666666666667,0.041988950276243095
clean,iforest,906,0,,0.0,0.0
duplicate,iforest,951,45,0.6629139072847682,0.06315789473684211,0.0473186119873817
garbled,iforest,905,38,0.9775997086140957,0.36666666666666664,0.041988950276243095
keyword,iforest,906,39,0.6153550409605774,0.08791208791208792,0.04304635761589404
mixed,iforest,916,49,0.7139797095308712,0.15217391304347827,0.05349344978165939
unrelated,iforest,905,38,0.6832392399684332,0.06666666666666667,0.041988950276243095
