dataset,model,k_frac,n_dropped,precision,recall,random_precision,lift
duplicate,RF,0.05,803,0.8431,0.4634,0.0909,9.27
duplicate,RF,0.0909,1460,0.7445,0.744,0.0909,8.19
duplicate,RF,0.1,1607,0.7218,0.794,0.0909,7.94
duplicate,RF,0.2,3214,0.4543,0.9993,0.0909,5.0
garbled,RF,0.05,730,1.0,0.4997,0.1,10.0
garbled,RF,0.1,1461,0.937,0.937,0.1,9.37
garbled,RF,0.2,2922,0.4969,0.9938,0.1,4.97
keyword,LR,0.05,730,0.3534,0.1766,0.1,3.53
keyword,LR,0.1,1461,0.2813,0.2813,0.1,2.81
keyword,LR,0.2,2922,0.2225,0.4449,0.1,2.22
mixed,RF,0.05,748,0.9759,0.3998,0.1219,8.0
mixed,RF,0.1,1497,0.8116,0.6654,0.1219,6.66
mixed,RF,0.1219,1825,0.7266,0.7262,0.1219,5.96
mixed,RF,0.2,2995,0.5052,0.8286,0.1219,4.14
unrelated,RF,0.05,730,0.7274,0.3634,0.1,7.27
unrelated,RF,0.1,1461,0.629,0.629,0.1,6.29
unrelated,RF,0.2,2922,0.4271,0.8542,0.1,4.27
