dataset,feature,importance,importance_std,n,n_noise,rank
duplicate,text_nn_sim,0.15469725360040604,0.02618972374203449,995,89,1
duplicate,cos_global_last,0.009242927656967338,0.0018788016099895721,995,89,2
duplicate,cos_ref_std,0.004102861714171468,0.0031656424537269117,995,89,3
duplicate,cos_global_slope,0.002872572034905505,0.0017763728528499094,995,89,4
duplicate,cos_ref_mean,0.0021400714982125722,0.0008013246696536467,995,89,5
duplicate,cos_ref_slope,0.002082474723846216,0.001149643838789394,995,89,6
duplicate,cos_ref_last,0.001089544189966708,0.0010557975892182777,995,89,7
duplicate,loss_mean,0.00038484256147567556,0.0004638086557434059,995,89,8
duplicate,update_contrib_mean,0.0003758616352051814,0.0008153532379349595,995,89,9
duplicate,cos_global_std,0.0003583729851198447,0.0006703107195100633,995,89,10
duplicate,cos_global_mean,0.00030053216923547676,0.00039506268710409574,995,89,11
duplicate,loss_rank,0.0002609994273952953,0.00032273903029294746,995,89,12
duplicate,loss_std,0.00024388477589650905,0.00019600648219672963,995,89,13
duplicate,grad_norm_mean,0.00023465484791454494,0.000540305717458652,995,89,14
duplicate,user_loss,0.00019959024833906213,0.0002310540819359991,995,89,15
duplicate,hard_pos_std_mean,0.00012578455379888553,0.0006005052230789481,995,89,16
duplicate,token_loss_skew,0.00011652188854011204,0.0003995211775754633,995,89,17
duplicate,frac_hard,0.0001047384529672768,0.0005296995370746578,995,89,18
duplicate,converge_epoch,8.594229588708037e-05,5.2359490820239586e-05,995,89,19
duplicate,grad_norm_last,8.1766805036243e-05,0.0005364425322732224,995,89,20
duplicate,n_hard,-3.6159810290431477e-05,0.00030580736662245473,995,89,21
duplicate,token_loss_kurt,-0.0001048574976101535,0.0004138719444041182,995,89,22
duplicate,max_token_loss,-0.00015338703833987945,0.0005733253995025989,995,89,23
duplicate,entropy,-0.00017443313917150263,0.0005913131479677262,995,89,24
duplicate,loss_slope,-0.00019109244491106846,0.00045709982340325176,995,89,25
duplicate,hard_loss_max,-0.00020354352252301977,0.0007851992447479035,995,89,26
duplicate,hard_id_uniq,-0.0002512218940557998,0.00021232351660010728,995,89,27
duplicate,hard_pos_jaccard,-0.00025619498401426526,0.0006233583244683028,995,89,28
duplicate,grad_norm_cv,-0.0002607008237492192,0.0007293096616907943,995,89,29
duplicate,hard_loss_mean,-0.0002619755934672841,0.0004740300450102393,995,89,30
duplicate,loss_curvature,-0.00031921424186615147,0.00029350603039612243,995,89,31
duplicate,loss_min,-0.00033139945310888485,0.0002987419280299068,995,89,32
duplicate,grad_norm_slope,-0.00036023305766559653,0.0005675970441283353,995,89,33
duplicate,loss_last,-0.0004430137262441202,0.0006642350775399297,995,89,34
duplicate,hard_pos_peak,-0.0004878667715846652,0.00041463621533491306,995,89,35
duplicate,grad_norm_std,-0.0005222210714573205,0.0002780535634031078,995,89,36
garbled,user_loss,0.015211698251049668,0.014881490584219443,904,85,1
garbled,entropy,0.003294520336939212,0.004205019588018874,904,85,2
garbled,loss_curvature,0.0017685127320418129,0.0030291410209913184,904,85,3
garbled,loss_mean,0.001239107568809361,0.0026621905822482874,904,85,4
garbled,loss_std,0.0001883070301291434,0.0004181354209696533,904,85,5
garbled,grad_norm_slope,0.00012015781922528057,0.00018408360717869424,904,85,6
garbled,grad_norm_std,0.00011649400146116706,0.0002570800142352954,904,85,7
garbled,grad_norm_cv,9.666757620304444e-05,0.00019711374479565598,904,85,8
garbled,hard_pos_peak,6.986559400062764e-05,0.00012242979358445495,904,85,9
garbled,cos_ref_mean,6.276901004308e-05,0.00012553802008606008,904,85,10
garbled,converge_epoch,6.243893637063682e-05,0.000291989765906647,904,85,11
garbled,frac_hard,6.094260238886592e-05,0.0006775536658197427,904,85,12
garbled,cos_ref_std,6.0931599933155e-05,0.00012026019637484948,904,85,13
garbled,hard_id_uniq,5.5595408895308114e-05,7.092439000464475e-05,904,85,14
garbled,grad_norm_last,5.188758130817984e-05,0.00017075351721336184,904,85,15
garbled,update_contrib_mean,4.8399802836024395e-05,0.0006133243046382984,904,85,16
garbled,grad_norm_mean,4.477999489488681e-05,0.0002660228166373408,904,85,17
garbled,loss_slope,3.23142125322673e-05,0.00019237000719668035,904,85,18
garbled,cos_global_std,3.220418797478918e-05,6.970214716171244e-05,904,85,19
garbled,hard_loss_mean,3.199514131555837e-05,0.00024183200910747675,904,85,20
garbled,token_loss_kurt,2.3292198818810617e-05,0.0003055975402313307,904,85,21
garbled,cos_ref_slope,2.1476793620365255e-05,5.159176446693524e-05,904,85,22
garbled,cos_global_mean,1.4347202295572626e-05,7.028664972121284e-05,904,85,23
garbled,hard_pos_std_mean,1.0716391898680786e-05,9.047839498097943e-05,904,85,24
garbled,hard_loss_max,1.0595364885475079e-05,8.466942376602386e-05,904,85,25
garbled,hard_pos_jaccard,-3.7298324985624004e-06,6.84335447633374e-05,904,85,26
garbled,cos_global_slope,-7.173601147738572e-06,4.621269270701691e-05,904,85,27
