tag,dataset,scorer,n,n_noise,n_feats,auc,p_at_10,recall_at_10,p_at_base,random_p,lift_at_10,p_two_tailed_10
ratio10,duplicate,memo_signed,16072,1461,6,0.625,0.163,0.1793,0.1636,0.0909,1.79,0.1071
ratio10,duplicate,low_loss_only,16072,1461,1,0.6307,0.1612,0.1773,0.1622,0.0909,1.77,0.1065
ratio10,duplicate,memo_plus_conc,2009,182,7,0.6326,0.1493,0.1648,0.1484,0.0906,1.65,0.095
ratio10,duplicate,conc_only,2009,182,1,0.4752,0.0498,0.0549,0.044,0.0906,0.55,0.05
ratio10,garbled,memo_signed,14611,1461,6,0.0147,0.0,0.0,0.0,0.1,0.0,0.4829
ratio10,garbled,low_loss_only,14611,1461,1,0.0452,0.0007,0.0007,0.0007,0.1,0.01,0.4979
ratio10,garbled,memo_plus_conc,1827,155,7,0.0115,0.0,0.0,0.0,0.0848,0.0,0.4945
ratio10,garbled,conc_only,1827,155,1,0.1103,0.0,0.0,0.0,0.0848,0.0,0.1978
ratio10,keyword,memo_signed,14611,1461,6,0.3461,0.024,0.024,0.024,0.1,0.24,0.0993
ratio10,keyword,low_loss_only,14611,1461,1,0.3731,0.0233,0.0233,0.0233,0.1,0.23,0.1021
ratio10,keyword,memo_plus_conc,1827,155,7,0.3335,0.0219,0.0258,0.0129,0.0848,0.26,0.1154
ratio10,keyword,conc_only,1827,155,1,0.4352,0.0383,0.0452,0.0323,0.0848,0.45,0.0549
ratio10,mixed,memo_signed,14976,1826,6,0.3532,0.0834,0.0685,0.0794,0.1219,0.68,0.2934
ratio10,mixed,low_loss_only,14976,1826,1,0.3732,0.0788,0.0646,0.0783,0.1219,0.65,0.2701
ratio10,mixed,memo_plus_conc,1872,200,7,0.3564,0.0535,0.05,0.055,0.1068,0.5,0.2312
ratio10,mixed,conc_only,1872,200,1,0.397,0.0214,0.02,0.02,0.1068,0.2,0.1183
ratio10,unrelated,memo_signed,14611,1461,6,0.225,0.0,0.0,0.0,0.1,0.0,0.1212
ratio10,unrelated,low_loss_only,14611,1461,1,0.2764,0.0,0.0,0.0,0.1,0.0,0.0719
ratio10,unrelated,memo_plus_conc,1827,155,7,0.2587,0.0,0.0,0.0,0.0848,0.0,0.0934
ratio10,unrelated,conc_only,1827,155,1,0.513,0.0437,0.0516,0.0387,0.0848,0.52,0.0385
