scorer,scope,target_type,n,n_noise,auc,p_at_10,random_p
iforest,overall,any,14819,1400,0.7141681304759775,0.2699055330634278,0.0944733112895607
iforest,per_type,duplicate,13610,191,0.6894596198482342,0.013960323291697281,0.014033798677443057
iforest,per_type,garbled,13613,194,0.971748782116141,0.1381337252020573,0.014251083523102916
iforest,per_type,keyword,13616,197,0.6412969261328453,0.038913362701908955,0.014468272620446533
iforest,per_type,near_duplicate,13630,211,0.6246963967409865,0.03741746148202495,0.015480557593543654
iforest,per_type,template,13625,206,0.6569268180098209,0.00881057268722467,0.015119266055045872
iforest,per_type,truncation,13623,204,0.6848622599796308,0.04772393538913363,0.014974675181678044
iforest,per_type,unrelated,13616,197,0.7433709230377565,0.04331864904552129,0.014468272620446533
memo_signed,overall,any,14819,1400,0.37974843771624456,0.1282051282051282,0.0944733112895607
memo_signed,per_type,duplicate,13610,191,0.6506606050887446,0.028655400440852314,0.014033798677443057
memo_signed,per_type,garbled,13613,194,0.0080164069564389,0.0,0.014251083523102916
memo_signed,per_type,keyword,13616,197,0.31907481739468585,0.011747430249632892,0.014468272620446533
memo_signed,per_type,near_duplicate,13630,211,0.31836693321240417,0.010271460014673514,0.015480557593543654
memo_signed,per_type,template,13625,206,0.8663556310896664,0.08149779735682819,0.015119266055045872
memo_signed,per_type,truncation,13623,204,0.2551485382885549,0.0,0.014974675181678044
memo_signed,per_type,unrelated,13616,197,0.2297651296006912,0.0,0.014468272620446533
text_abs_z,overall,any,14819,1400,0.6359851702809449,0.2550607287449393,0.0944733112895607
text_abs_z,per_type,duplicate,13610,191,0.9665848494105997,0.13739897134459955,0.014033798677443057
text_abs_z,per_type,garbled,13613,194,0.5130504293419931,0.002204261572373255,0.014251083523102916
text_abs_z,per_type,keyword,13616,197,0.5134465374688439,0.018355359765051395,0.014468272620446533
text_abs_z,per_type,near_duplicate,13630,211,0.4645658751526183,0.012472487160674981,0.015480557593543654
text_abs_z,per_type,template,13625,206,0.7358713590424243,0.04919236417033774,0.015119266055045872
text_abs_z,per_type,truncation,13623,204,0.4715157320100706,0.015418502202643172,0.014974675181678044
text_abs_z,per_type,unrelated,13616,197,0.8085211778283916,0.08737151248164464,0.014468272620446533
pooled,overall,any,14819,1400,0.7275431424525993,0.32118758434547906,0.0944733112895607
pooled,per_type,duplicate,13610,191,0.9469520243430722,0.1366642174871418,0.014033798677443057
pooled,per_type,garbled,13613,194,0.9353613087459465,0.11462160176340926,0.014251083523102916
pooled,per_type,keyword,13616,197,0.5481193231961803,0.024963289280469897,0.014468272620446533
pooled,per_type,near_duplicate,13630,211,0.5053868939457351,0.019809244314013204,0.015480557593543654
pooled,per_type,template,13625,206,0.8176967233100148,0.022026431718061675,0.015119266055045872
pooled,per_type,truncation,13623,204,0.5256579418413166,0.028634361233480177,0.014974675181678044
pooled,per_type,unrelated,13616,197,0.8423176774503006,0.07268722466960352,0.014468272620446533
