dataset,method,n,n_noise,auc,p_at_10,random_p,lift
duplicate,zscore_mean,995,89,0.542438673512414,0.05,0.0894472361809045,0.558988764044944
duplicate,iforest,995,89,0.6119750973534738,0.05,0.0894472361809045,0.558988764044944
duplicate,zscore_max,995,89,0.6038891782622715,0.04,0.0894472361809045,0.44719101123595517
garbled,iforest,904,85,0.9355598649716296,0.5555555555555556,0.0940265486725663,5.908496732026149
garbled,zscore_mean,904,85,0.873015873015873,0.3111111111111111,0.0940265486725663,3.3087581699346433
garbled,zscore_max,904,85,0.6640163757810817,0.0888888888888888,0.0940265486725663,0.9453594771241828
keyword,zscore_max,906,87,0.5201465201465202,0.1098901098901098,0.0960264900662251,1.1443728685107994
keyword,zscore_mean,906,87,0.525156835501663,0.1098901098901098,0.0960264900662251,1.1443728685107994
keyword,iforest,906,87,0.5519767588733107,0.0989010989010989,0.0960264900662251,1.0299355816597202
mixed,iforest,919,92,0.6617422848430683,0.2282608695652173,0.1001088139281828,2.2801275992438557
mixed,zscore_mean,919,92,0.6325114347300352,0.1739130434782608,0.1001088139281828,1.7372400756143662
mixed,zscore_max,919,92,0.6044897744598074,0.0543478260869565,0.1001088139281828,0.5428875236294894
near_duplicate,iforest,906,87,0.5992730130661165,0.1318681318681318,0.0960264900662251,1.3732474422129595
near_duplicate,zscore_max,906,87,0.5068769034286276,0.1208791208791208,0.0960264900662251,1.2588101553618796
near_duplicate,zscore_mean,906,87,0.548917238572411,0.1098901098901098,0.0960264900662251,1.1443728685107994
template,zscore_mean,906,87,0.8025626991144232,0.1648351648351648,0.0960264900662251,1.7165593027662
template,iforest,906,87,0.5217043492905562,0.0659340659340659,0.0960264900662251,0.6866237211064797
template,zscore_max,906,87,0.8779279468934642,0.0219780219780219,0.0960264900662251,0.22887457370215925
truncation,zscore_max,905,86,0.6572890933356048,0.1777777777777777,0.0950276243093922,1.8708010335917318
truncation,iforest,905,86,0.598418377488145,0.1555555555555555,0.0950276243093922,1.6369509043927655
truncation,zscore_mean,905,86,0.6096203538064003,0.1444444444444444,0.0950276243093922,1.5200258397932822
unrelated,iforest,904,85,0.703454715219421,0.1888888888888888,0.0940265486725663,2.0088888888888894
unrelated,zscore_mean,904,85,0.596265172735761,0.1666666666666666,0.0940265486725663,1.772549019607844
unrelated,zscore_max,904,85,0.6044530632765927,0.1111111111111111,0.0940265486725663,1.1816993464052297
