dataset,epoch,group,loss_mean,n
__global_clean__,0,clean_global,1.6089177791746518,14611
__global_clean__,1,clean_global,1.324817792991825,14611
__global_clean__,2,clean_global,1.017401042330622,14611
__global_clean__,3,clean_global,0.7619370671515356,14611
__global_clean__,4,clean_global,0.6122488151022646,14611
garbled,0,noisy,4.622942142285442,1461
garbled,0,clean_within,1.6104203536450061,13150
garbled,1,noisy,3.9538507916614627,1461
garbled,1,clean_within,1.3234315801118366,13150
garbled,2,noisy,3.393781017031123,1461
garbled,2,clean_within,1.0156422547446122,13150
garbled,3,noisy,2.896142905110354,1461
garbled,3,clean_within,0.7617215208372492,13150
garbled,4,noisy,2.564816424266067,1461
garbled,4,clean_within,0.6126853546815637,13150
template,0,noisy,0.2571936019305535,1461
template,0,clean_within,1.62199293686594,13150
template,1,noisy,0.11054936337363151,1461
template,1,clean_within,1.331856774826913,13150
template,2,noisy,0.06897198448049588,1461
template,2,clean_within,1.0259586803551184,13150
template,3,noisy,0.03689200311714044,1461
template,3,clean_within,0.7679123905145784,13150
template,4,noisy,0.02078622109380391,1461
template,4,clean_within,0.6140623775055258,13150
duplicate,0,noisy,1.3371341357216506,1461
duplicate,0,clean_within,1.610851691541864,14611
duplicate,1,noisy,0.865606165518353,1461
duplicate,1,clean_within,1.316163921579908,14611
duplicate,2,noisy,0.5053674297266785,1461
duplicate,2,clean_within,0.9879676965830413,14611
duplicate,3,noisy,0.3187270185622257,1461
duplicate,3,clean_within,0.716103523985695,14611
duplicate,4,noisy,0.2744960686806441,1461
duplicate,4,clean_within,0.556075502359217,14611
unrelated,0,noisy,2.5713207007352006,1461
unrelated,0,clean_within,1.6202108743413928,13150
unrelated,1,noisy,1.8787806690310387,1461
unrelated,1,clean_within,1.318456500402848,13150
unrelated,2,noisy,1.1907307765198634,1461
unrelated,2,clean_within,0.9955050360881706,13150
unrelated,3,noisy,0.7209409564877092,1461
unrelated,3,clean_within,0.733388171136644,13150
unrelated,4,noisy,0.50361700881523,1461
unrelated,4,clean_within,0.5803290378615394,13150
truncation,0,noisy,2.308804958018434,1461
truncation,0,clean_within,1.621523069299345,13150
truncation,1,noisy,1.5465398324327766,1461
truncation,1,clean_within,1.3442918387947689,13150
truncation,2,noisy,0.9727778245062978,1461
truncation,2,clean_within,1.0418301078692007,13150
truncation,3,noisy,0.6127910074474672,1461
truncation,3,clean_within,0.7894362634342018,13150
truncation,4,noisy,0.42774801994273903,1461
truncation,4,clean_within,0.6388821155603311,13150
near_duplicate,0,noisy,2.097113917440222,1461
near_duplicate,0,clean_within,1.6101589625422819,13150
near_duplicate,1,noisy,1.757339833909829,1461
near_duplicate,1,clean_within,1.3281716165206716,13150
near_duplicate,2,noisy,1.3703367454925,1461
near_duplicate,2,clean_within,1.018164860175026,13150
near_duplicate,3,noisy,1.0389168894505494,1461
near_duplicate,3,clean_within,0.7627047624074188,13150
near_duplicate,4,noisy,0.8360440178423679,1461
near_duplicate,4,clean_within,0.613371090911824,13150
keyword,0,noisy,2.1857895007856647,1461
keyword,0,clean_within,1.613491486962431,13150
keyword,1,noisy,1.7109751045099673,1461
keyword,1,clean_within,1.3304016393102946,13150
keyword,2,noisy,1.3014213600744782,1461
keyword,2,clean_within,1.026413019194693,13150
keyword,3,noisy,0.9585322397229755,1461
keyword,3,clean_within,0.7729728162416395,13150
keyword,4,noisy,0.7556572553109078,1461
keyword,4,clean_within,0.6227249942434782,13150
mixed,0,noisy,2.4405153739339274,1400
mixed,0,clean_within,1.615874797249697,13419
mixed,1,noisy,1.8592349795518177,1400
mixed,1,clean_within,1.3337172474849484,13419
mixed,2,noisy,1.3581437357215742,1400
mixed,2,clean_within,1.019329877358287,13419
mixed,3,noisy,1.0023971348572844,1400
mixed,3,clean_within,0.7597561507655172,13419
mixed,4,noisy,0.8182004719540626,1400
mixed,4,clean_within,0.6078093784032017,13419
