dataset,route,dropped,n,n_noise,auc,full_auc,delta
duplicate,rf,(none),16072,1461,0.9837548440222834,0.9837548440222834,0.0
duplicate,iforest,(none),16072,1461,0.5277548428979862,0.5277548428979862,0.0
duplicate,rf,text_nn_sim,16072,1461,0.9349049085920703,0.9837548440222834,-0.0488499354302131
duplicate,iforest,text_nn_sim,16072,1461,0.4357954455755654,0.5277548428979862,-0.09195939732242087
duplicate,rf,loss_mean,16072,1461,0.9832111292669475,0.9837548440222834,-0.0005437147553358779
duplicate,iforest,loss_mean,16072,1461,0.5445865540345846,0.5277548428979862,0.016831711136598315
duplicate,rf,loss_last,16072,1461,0.9834025876915423,0.9837548440222834,-0.0003522563307410964
duplicate,iforest,loss_last,16072,1461,0.5557502151037976,0.5277548428979862,0.027995372205811386
duplicate,rf,loss_std,16072,1461,0.9836113556066893,0.9837548440222834,-0.0001434884155940841
duplicate,iforest,loss_std,16072,1461,0.5237857931103168,0.5277548428979862,-0.003969049787669432
duplicate,rf,loss_slope,16072,1461,0.9833082638506022,0.9837548440222834,-0.000446580171681199
duplicate,iforest,loss_slope,16072,1461,0.533439054735982,0.5277548428979862,0.005684211837995723
duplicate,rf,loss_min,16072,1461,0.983671692883635,0.9837548440222834,-8.31511386484296e-05
duplicate,iforest,loss_min,16072,1461,0.5404133037886797,0.5277548428979862,0.012658460890693446
duplicate,rf,converge_epoch,16072,1461,0.9836446863307163,0.9837548440222834,-0.000110157691567081
duplicate,iforest,converge_epoch,16072,1461,0.5567673292008857,0.5277548428979862,0.029012486302899432
duplicate,rf,loss_curvature,16072,1461,0.9837794614438945,0.9837548440222834,2.4617421611083934e-05
duplicate,iforest,loss_curvature,16072,1461,0.5258017514768462,0.5277548428979862,-0.0019530914211400852
duplicate,rf,loss_rank,16072,1461,0.9830128547912694,0.9837548440222834,-0.0007419892310139842
duplicate,iforest,loss_rank,16072,1461,0.5249522513369884,0.5277548428979862,-0.0028025915609978247
duplicate,rf,grad_norm_mean,16072,1461,0.9829913760323565,0.9837548440222834,-0.0007634679899268804
duplicate,iforest,grad_norm_mean,16072,1461,0.5213399784912598,0.5277548428979862,-0.00641486440672645
duplicate,rf,grad_norm_last,16072,1461,0.9835784230712132,0.9837548440222834,-0.00017642095107017752
duplicate,iforest,grad_norm_last,16072,1461,0.5422511547585102,0.5277548428979862,0.014496311860523914
duplicate,rf,grad_norm_std,16072,1461,0.9835993631044392,0.9837548440222834,-0.00015548091784423068
duplicate,iforest,grad_norm_std,16072,1461,0.531115413733598,0.5277548428979862,0.003360570835611809
duplicate,rf,grad_norm_slope,16072,1461,0.9834200142963743,0.9837548440222834,-0.00033482972590914706
duplicate,iforest,grad_norm_slope,16072,1461,0.5522745911997238,0.5277548428979862,0.02451974830173753
duplicate,rf,cos_ref_mean,16072,1461,0.9817664543572158,0.9837548440222834,-0.001988389665067647
duplicate,iforest,cos_ref_mean,16072,1461,0.5607503390107057,0.5277548428979862,0.03299549611271946
duplicate,rf,cos_ref_last,16072,1461,0.9831769084743939,0.9837548440222834,-0.0005779355478895409
duplicate,iforest,cos_ref_last,16072,1461,0.5211994413555163,0.5277548428979862,-0.006555401542469919
duplicate,rf,cos_ref_std,16072,1461,0.9836470286163121,0.9837548440222834,-0.00010781540597126771
duplicate,iforest,cos_ref_std,16072,1461,0.5481145982902907,0.5277548428979862,0.0203597553923045
