condition,detector,scope,target_type,n,n_noise,auc,p_at_10,random_p
full_diag,duplicate,overall,any,919,92,0.7030387466484411,0.2391304347826087,0.10010881392818281
full_diag,duplicate,own_type_only,duplicate,839,12,0.9899234179766223,0.14285714285714285,0.014302741358760428
full_diag,garbled,overall,any,919,92,0.5705930287576889,0.21739130434782608,0.10010881392818281
full_diag,garbled,own_type_only,garbled,837,10,0.999758162031439,0.11904761904761904,0.011947431302270013
full_diag,keyword,overall,any,919,92,0.7301009410651386,0.358695652173913,0.10010881392818281
full_diag,keyword,own_type_only,keyword,840,13,0.5641335689703284,0.047619047619047616,0.015476190476190477
full_diag,near_duplicate,overall,any,919,92,0.7622956206298303,0.391304347826087,0.10010881392818281
full_diag,near_duplicate,own_type_only,near_duplicate,841,14,0.7050008637070306,0.05952380952380952,0.016646848989298454
full_diag,template,overall,any,919,92,0.6166276746753588,0.2717391304347826,0.10010881392818281
full_diag,template,own_type_only,template,844,17,0.9983640372714988,0.20238095238095238,0.02014218009478673
full_diag,truncation,overall,any,919,92,0.7226026497029598,0.34782608695652173,0.10010881392818281
full_diag,truncation,own_type_only,truncation,836,9,0.8413945989520355,0.047619047619047616,0.01076555023923445
full_diag,unrelated,overall,any,919,92,0.6913477209400136,0.3804347826086957,0.10010881392818281
full_diag,unrelated,own_type_only,unrelated,844,17,0.9699125115584323,0.19047619047619047,0.02014218009478673
full_diag,text_nn_sim_zscore,overall,any,919,92,0.6967167867094265,0.2608695652173913,0.10010881392818281
full_coverage,duplicate,overall,any,14819,1400,0.6678066813579893,0.25573549257759787,0.0944733112895607
full_coverage,duplicate,own_type_only,duplicate,13610,191,0.9801777506224081,0.13739897134459955,0.014033798677443057
full_coverage,garbled,overall,any,14819,1400,0.6621872238723346,0.2975708502024291,0.0944733112895607
full_coverage,garbled,own_type_only,garbled,13613,194,0.9978940078039832,0.14180749448934607,0.014251083523102916
full_coverage,keyword,overall,any,14819,1400,0.7126992643692845,0.31039136302294196,0.0944733112895607
full_coverage,keyword,own_type_only,keyword,13616,197,0.7108335290933419,0.0513950073421439,0.014468272620446533
full_coverage,near_duplicate,overall,any,14819,1400,0.7301198460604899,0.2968960863697706,0.0944733112895607
full_coverage,near_duplicate,own_type_only,near_duplicate,13630,211,0.7263629168375181,0.05796038151137197,0.015480557593543654
full_coverage,template,overall,any,14819,1400,0.5631313010337154,0.18690958164642374,0.0944733112895607
full_coverage,template,own_type_only,template,13625,206,0.9598663538223228,0.13142437591776798,0.015119266055045872
full_coverage,truncation,overall,any,14819,1400,0.6881984499590134,0.247638326585695,0.0944733112895607
full_coverage,truncation,own_type_only,truncation,13623,204,0.8477582999814427,0.07782672540381791,0.014974675181678044
full_coverage,unrelated,overall,any,14819,1400,0.7008146764182982,0.36707152496626183,0.0944733112895607
full_coverage,unrelated,own_type_only,unrelated,13616,197,0.9744505763666412,0.13803230543318648,0.014468272620446533
full_coverage,text_nn_sim_zscore,overall,any,14819,1400,0.659998243428827,0.2550607287449393,0.0944733112895607
