tag,dataset,scorer,n,n_noise,auc,auc_dir,p_at_base,recall_at_base,p_at_10,random_p,lift_at_10,frac_of_supervised
ratio10,duplicate,zscore_max,16072,1461,0.5975,0.5975,0.0322,0.0322,0.0324,0.0909,0.36,0.609
ratio10,duplicate,zscore_mean,16072,1461,0.5413,0.5413,0.0459,0.0459,0.0473,0.0909,0.52,0.551
ratio10,duplicate,iforest,16072,1461,0.5556,0.5556,0.0479,0.0479,0.0535,0.0909,0.59,0.566
ratio10,duplicate,mahalanobis,16072,1461,0.6988,0.6988,0.0746,0.0746,0.0828,0.0909,0.91,0.712
ratio10,duplicate,SUPERVISED_rf,16072,1461,0.9818,0.9818,0.7454,0.7454,0.7212,0.0909,7.93,1.0
ratio10,garbled,zscore_max,14611,1461,0.8793,0.8793,0.5455,0.5455,0.5455,0.1,5.46,0.883
ratio10,garbled,zscore_mean,14611,1461,0.947,0.947,0.6085,0.6085,0.6085,0.1,6.09,0.951
ratio10,garbled,iforest,14611,1461,0.9547,0.9547,0.64,0.64,0.64,0.1,6.4,0.958
ratio10,garbled,mahalanobis,14611,1461,0.8106,0.8106,0.3121,0.3121,0.3121,0.1,3.12,0.814
ratio10,garbled,SUPERVISED_rf,14611,1461,0.9961,0.9961,0.937,0.937,0.937,0.1,9.37,1.0
ratio10,keyword,zscore_max,14611,1461,0.5296,0.5296,0.1198,0.1198,0.1198,0.1,1.2,0.771
ratio10,keyword,zscore_mean,14611,1461,0.5566,0.5566,0.1431,0.1431,0.1431,0.1,1.43,0.811
ratio10,keyword,iforest,14611,1461,0.5719,0.5719,0.1697,0.1697,0.1697,0.1,1.7,0.833
ratio10,keyword,mahalanobis,14611,1461,0.537,0.537,0.1472,0.1472,0.1472,0.1,1.47,0.782
ratio10,keyword,SUPERVISED_rf,14611,1461,0.6866,0.6866,0.2505,0.2505,0.2505,0.1,2.51,1.0
ratio10,mixed,zscore_max,14976,1826,0.7248,0.7248,0.2136,0.2136,0.2316,0.1219,1.9,0.786
ratio10,mixed,zscore_mean,14976,1826,0.7196,0.7196,0.3143,0.3143,0.3491,0.1219,2.86,0.78
ratio10,mixed,iforest,14976,1826,0.763,0.763,0.3532,0.3532,0.3798,0.1219,3.12,0.827
ratio10,mixed,mahalanobis,14976,1826,0.7598,0.7598,0.3034,0.3034,0.3144,0.1219,2.58,0.824
ratio10,mixed,SUPERVISED_rf,14976,1826,0.9225,0.9225,0.7273,0.7273,0.8111,0.1219,6.65,1.0
ratio10,unrelated,zscore_max,14611,1461,0.5933,0.5933,0.1123,0.1123,0.1123,0.1,1.12,0.636
ratio10,unrelated,zscore_mean,14611,1461,0.6727,0.6727,0.2259,0.2259,0.2259,0.1,2.26,0.721
ratio10,unrelated,iforest,14611,1461,0.7216,0.7216,0.243,0.243,0.243,0.1,2.43,0.773
ratio10,unrelated,mahalanobis,14611,1461,0.659,0.659,0.1554,0.1554,0.1554,0.1,1.55,0.706
ratio10,unrelated,SUPERVISED_rf,14611,1461,0.9332,0.9332,0.6311,0.6311,0.6311,0.1,6.31,1.0
