train_type,test_type,auc,auc_dir,within_type_auc,retention,p_at_10,random_p,is_diagonal
duplicate,duplicate,0.9847927397596272,0.9847927397596272,0.9847927397596272,1.0,,0.0473186119873817,True
garbled,duplicate,0.3808437576649497,0.6191562423350503,0.9847927397596272,0.3867247820672478,0.021052631578947368,0.0473186119873817,False
keyword,duplicate,0.6465906303654647,0.6465906303654647,0.9847927397596272,0.6565753424657533,0.09473684210526316,0.0473186119873817,False
near_duplicate,duplicate,0.7044885945548197,0.7044885945548197,0.9847927397596272,0.7153673723536736,0.10526315789473684,0.0473186119873817,False
template,duplicate,0.6456831003188619,0.6456831003188619,0.9847927397596272,0.6556537982565379,0.14736842105263157,0.0473186119873817,False
truncation,duplicate,0.6669487368162865,0.6669487368162865,0.9847927397596272,0.6772478206724782,0.09473684210526316,0.0473186119873817,False
unrelated,duplicate,0.9075300466028944,0.9075300466028944,0.9847927397596272,0.9215442092154421,0.2736842105263158,0.0473186119873817,False
duplicate,garbled,0.785584052510028,0.785584052510028,0.9929348486690167,0.7911738152438371,0.13333333333333333,0.0420353982300885,False
garbled,garbled,0.9929348486690167,0.9929348486690167,0.9929348486690167,1.0,,0.0420353982300885,True
keyword,garbled,0.9804910660021879,0.9804910660021879,0.9929348486690167,0.98746767455739,0.4111111111111111,0.0420353982300885,False
near_duplicate,garbled,0.9353044852315546,0.9353044852315546,0.9929348486690167,0.9419595721565086,0.32222222222222224,0.0420353982300885,False
template,garbled,0.2474170414488878,0.7525829585511122,0.9929348486690167,0.2491775183241266,0.0,0.0420353982300885,False
truncation,garbled,0.9677737936064179,0.9677737936064179,0.9929348486690167,0.9746599133907667,0.4,0.0420353982300885,False
unrelated,garbled,0.9700832624285888,0.9700832624285888,0.9929348486690167,0.9769858150602132,0.36666666666666664,0.0420353982300885,False
duplicate,keyword,0.523296766743649,0.523296766743649,0.634324480369515,0.8249670049606335,0.03296703296703297,0.04415011037527594,False
garbled,keyword,0.6369226327944573,0.6369226327944573,0.634324480369515,1.004095935921358,0.0989010989010989,0.04415011037527594,False
keyword,keyword,0.634324480369515,0.634324480369515,0.634324480369515,1.0,,0.04415011037527594,True
near_duplicate,keyword,0.7622401847575058,0.7622401847575058,0.634324480369515,1.2016565785281936,0.17582417582417584,0.04415011037527594,False
template,keyword,0.5065531177829099,0.5065531177829099,0.634324480369515,0.7985709734674372,0.06593406593406594,0.04415011037527594,False
truncation,keyword,0.6458285219399538,0.6458285219399538,0.634324480369515,1.0181358940517906,0.15384615384615385,0.04415011037527594,False
unrelated,keyword,0.6570005773672056,0.6570005773672056,0.634324480369515,1.0357484185136305,0.14285714285714285,0.04415011037527594,False
duplicate,near_duplicate,0.5067118937644342,0.5067118937644342,0.7587471131639723,0.6678271125822776,0.054945054945054944,0.04415011037527594,False
garbled,near_duplicate,0.5326645496535797,0.5326645496535797,0.7587471131639723,0.7020317315374958,0.03296703296703297,0.04415011037527594,False
keyword,near_duplicate,0.8298354503464203,0.8298354503464203,0.7587471131639723,1.0936917399079253,0.25274725274725274,0.04415011037527594,False
near_duplicate,near_duplicate,0.7587471131639723,0.7587471131639723,0.7587471131639723,1.0,,0.04415011037527594,True
template,near_duplicate,0.49683891454965357,0.5031610854503464,0.7587471131639723,0.6548148993646083,0.054945054945054944,0.04415011037527594,False
truncation,near_duplicate,0.7852482678983833,0.7852482678983833,0.7587471131639723,1.0349275196895331,0.18681318681318682,0.04415011037527594,False
unrelated,near_duplicate,0.7120958429561202,0.7120958429561202,0.7587471131639723,0.9385153901761596,0.15384615384615385,0.04415011037527594,False
