feature,auc
text_nn_sim,0.6665280872441472
loss_mean,0.5481026379812826
loss_last,0.5078250579659477
loss_std,0.6059477451822981
loss_slope,0.6095502069855735
loss_min,0.5081386903592525
converge_epoch,0.6088843358254492
loss_curvature,0.6151654580629816
loss_rank,0.5378811695552128
grad_norm_mean,0.5604318941714423
grad_norm_last,0.5132657819932543
grad_norm_std,0.5201627946271379
grad_norm_slope,0.5457775433147463
cos_ref_mean,0.5080970301215595
cos_ref_last,0.54913703653931
cos_ref_std,0.5203357303605303
cos_ref_slope,0.5525666602027219
cos_global_mean,0.5057024942704736
cos_global_last,0.5236816994262661
cos_global_std,0.5064464375428687
cos_global_slope,0.5290380369044291
grad_norm_cv,0.52862866458144
cos_ref_trend,0.5525666602027219
update_contrib_mean,0.5419636275098331
max_token_loss,0.5000198480839608
frac_hard,0.5033164104256391
user_loss,0.5072232650904076
entropy,0.5005989023449764
token_loss_skew,0.5058287985957896
token_loss_kurt,0.5006254355856737
n_hard,0.5034150951045145
hard_loss_mean,0.5026481333139317
hard_loss_max,0.5000198480839608
hard_pos_peak,0.5064149399091159
hard_pos_std_mean,0.5122423715177666
hard_id_uniq,0.5096440136145576
hard_pos_jaccard,0.508859741171768
