dataset,scorer,n,n_noise,auc,p_at_10,random_p
duplicate,memo_signed,15341,730,0.66814091091062,0.10430247718383312,0.047584903200573625
duplicate,low_loss_only,15341,730,0.6734282577491344,0.10430247718383312,0.047584903200573625
garbled,memo_signed,14611,730,0.017966511828033396,0.0006844626967830253,0.04996235712819109
garbled,low_loss_only,14611,730,0.047202887952685894,0.0013689253935660506,0.04996235712819109
keyword,memo_signed,14611,730,0.32633914693682997,0.034223134839151265,0.04996235712819109
keyword,low_loss_only,14611,730,0.37156544917513146,0.03353867214236824,0.04996235712819109
mixed,memo_signed,14715,722,0.3830820237978111,0.06182065217391304,0.0490655793408087
mixed,low_loss_only,14715,722,0.4181420943950408,0.046875,0.0490655793408087
near_duplicate,memo_signed,14611,730,0.3554664748207118,0.03764544832306639,0.04996235712819109
near_duplicate,low_loss_only,14611,730,0.39070978068967827,0.04106776180698152,0.04996235712819109
template,memo_signed,14611,730,0.9105385009370255,0.3319644079397673,0.04996235712819109
template,low_loss_only,14611,730,0.9203983369403136,0.3080082135523614,0.04996235712819109
truncation,memo_signed,14611,730,0.3340921314539535,0.0034223134839151265,0.04996235712819109
truncation,low_loss_only,14611,730,0.4477138850483513,0.004791238877481177,0.04996235712819109
unrelated,memo_signed,14611,730,0.25837959248524395,0.0006844626967830253,0.04996235712819109
unrelated,low_loss_only,14611,730,0.3443866801274631,0.0,0.04996235712819109
