step,clean,duplicate,garbled,keyword,mixed,unrelated
914,7.06622838973999,,7.403698444366455,7.171276569366455,,7.261830806732178
936,,,,,7.492706775665283,
1005,,7.005920886993408,,,,
1828,6.247968673706055,,6.595702171325684,6.367713928222656,,6.444119930267334
1872,,,,,6.705498218536377,
2010,,6.26310920715332,,,,
2742,5.350177764892578,,5.799505233764648,5.484124660491943,,5.506435394287109
2808,,,,,6.306473255157471,
3015,,5.444018363952637,,,,
3656,4.542686939239502,,5.010769367218018,4.648203372955322,,4.553097724914551
3744,,,,,4.835299968719482,
4020,,4.500653266906738,,,,
4570,4.3640055656433105,,4.842556476593018,4.482728481292725,,4.361576557159424
4680,,,,,4.3431172370910645,
5025,,3.815734386444092,,,,
