step,clean,duplicate,garbled,keyword,mixed,unrelated
200,1.627170205116272,1.6257660388946533,1.6294010877609253,1.6273208856582642,1.6242666244506836,1.6256104707717896
400,,1.617208480834961,1.618926763534546,1.6241074800491333,1.6182363033294678,1.6305150985717773
600,,1.6160850524902344,1.6136471033096313,1.6178786754608154,1.6243655681610107,1.6267660856246948
800,,1.6135523319244385,1.619929313659668,1.6178058385849,1.6238665580749512,1.626377820968628
1000,,1.6273149251937866,1.6196554899215698,1.6207427978515625,1.6227933168411255,1.6750502586364746
1200,,1.643773078918457,1.632851243019104,1.6324843168258667,1.6458330154418945,1.6577695608139038
1400,,1.649204134941101,1.6485058069229126,1.6543762683868408,1.6581711769104004,1.662434458732605
1600,,1.6459099054336548,1.6536798477172852,1.6504470109939575,1.6723395586013794,1.6674624681472778
1800,,1.6598585844039917,1.657169222831726,1.6592974662780762,1.6859536170959473,1.6736220121383667
2000,,1.8060520887374878,1.7431083917617798,1.7313241958618164,1.713923454284668,1.746036410331726
2200,,1.7754089832305908,1.7441366910934448,1.7432407140731812,1.7861948013305664,1.7558791637420654
2400,,1.7838454246520996,1.7652153968811035,1.7543432712554932,1.7831417322158813,1.7738151550292969
2600,,1.813066005706787,1.7953860759735107,1.7661100625991821,1.7768810987472534,1.7985092401504517
2800,,1.7726917266845703,1.7882115840911865,1.775619387626648,1.967229962348938,1.807286262512207
3000,,2.111982822418213,1.883897066116333,1.8729459047317505,1.8882561922073364,1.9555938243865967
3200,,1.9649885892868042,1.893833875656128,1.8837546110153198,1.9881781339645386,1.9615973234176636
3400,,1.9569913148880005,1.9165502786636353,1.8805766105651855,1.9560405015945435,1.9366551637649536
3600,,1.9586209058761597,1.9157544374465942,1.9065033197402954,1.9399559497833252,1.9334568977355957
3800,,1.9977965354919434,1.9855011701583862,1.9654827117919922,1.9594833850860596,2.009634017944336
4000,,2.287278890609741,2.0794918537139893,2.02866530418396,2.080878496170044,2.077024459838867
4200,,2.1285223960876465,2.090531349182129,2.0558767318725586,2.1700665950775146,2.1093759536743164
4400,,2.1515746116638184,2.0593461990356445,2.0442349910736084,2.1120963096618652,2.090069055557251
4600,,2.1584115028381348,,,2.0808465480804443,
4800,,2.1478517055511475,,,,
5000,,2.1427507400512695,,,,
