step,mixed,near_duplicate,template,truncation
200,1.6253381967544556,1.6251146793365479,1.6338473558425903,1.6305208206176758
400,1.6326321363449097,1.6163065433502197,1.6302149295806885,1.625684380531311
600,1.6222981214523315,1.6176789999008179,1.6214665174484253,1.6180226802825928
800,1.6215795278549194,1.6183111667633057,1.625227451324463,1.6189002990722656
1000,1.6277194023132324,1.615644931793213,1.6284520626068115,1.6251336336135864
1200,1.644694209098816,1.630907416343689,1.6450129747390747,1.637221097946167
1400,1.6486554145812988,1.639632225036621,1.660630226135254,1.6591525077819824
1600,1.6803033351898193,1.6461178064346313,1.6570730209350586,1.6530808210372925
1800,1.6592665910720825,1.6562687158584595,1.6795597076416016,1.6677767038345337
2000,1.7184219360351562,1.737216591835022,1.7572909593582153,1.728803277015686
2200,1.772722840309143,1.7552584409713745,1.7642664909362793,1.7410794496536255
2400,1.803449034690857,1.750173568725586,1.7700544595718384,1.7490957975387573
2600,1.7815314531326294,1.7483800649642944,1.7858675718307495,1.7677867412567139
2800,1.7829020023345947,1.7812539339065552,1.8071132898330688,1.7642567157745361
3000,1.8997454643249512,1.8732596635818481,1.8953701257705688,1.8987470865249634
3200,1.9307359457015991,1.8903567790985107,1.8790242671966553,1.8955070972442627
3400,1.9333183765411377,1.8912297487258911,1.9249968528747559,1.91364586353302
3600,1.9116758108139038,1.8928910493850708,1.9031760692596436,1.9017702341079712
3800,1.9709835052490234,1.95704185962677,2.004476308822632,1.9856055974960327
4000,2.0657424926757812,2.025580644607544,2.0775132179260254,2.0656919479370117
4200,2.057095527648926,2.056748390197754,2.0878968238830566,2.0551276206970215
4400,2.064521074295044,2.0324950218200684,2.068354606628418,2.03303599357605
4600,2.052600145339966,,,
