step,clean,duplicate,garbled,keyword,mixed,unrelated
200,1.627568006515503,1.6248294115066528,1.6239824295043945,1.6268292665481567,1.625189185142517,1.6289488077163696
400,1.6187244653701782,1.6188228130340576,1.6203343868255615,1.6195241212844849,1.6181449890136719,1.6282938718795776
600,1.6146830320358276,1.6136828660964966,1.623587965965271,1.621099591255188,1.6172776222229004,1.620574951171875
800,1.6152604818344116,1.6156259775161743,1.6206480264663696,1.6204137802124023,1.62045419216156,1.6202296018600464
1000,1.6163462400436401,1.6161582469940186,1.615890383720398,1.6246410608291626,1.6282893419265747,1.6311792135238647
1200,1.6315841674804688,1.6437476873397827,1.632546305656433,1.6358096599578857,1.6448111534118652,1.6392039060592651
1400,1.6423290967941284,1.6459758281707764,1.6424700021743774,1.6432597637176514,1.644093632698059,1.6490750312805176
1600,1.6502219438552856,1.6558440923690796,1.6420191526412964,1.649870753288269,1.6536022424697876,1.659989595413208
1800,1.6596639156341553,1.6564669609069824,1.655535340309143,1.6604348421096802,1.662487506866455,1.6736119985580444
2000,1.7224527597427368,1.688395380973816,1.7471610307693481,1.7451521158218384,1.7374975681304932,1.7527434825897217
2200,1.759874701499939,1.7443171739578247,1.7464094161987305,1.7579572200775146,1.7556365728378296,1.781090497970581
2400,1.7478790283203125,1.7822688817977905,1.7494170665740967,1.7620388269424438,1.7957440614700317,1.782868504524231
2600,1.7821742296218872,1.780381679534912,1.7898286581039429,1.7768173217773438,1.758622646331787,1.7958183288574219
2800,1.7863450050354004,1.7925997972488403,1.8121976852416992,1.7942168712615967,1.7718781232833862,1.8207252025604248
3000,1.8858058452606201,1.8693430423736572,1.8746070861816406,1.8783597946166992,1.9060226678848267,1.8989135026931763
3200,1.8614689111709595,1.9227159023284912,1.8778674602508545,1.9100542068481445,1.9475239515304565,1.9498146772384644
3400,1.9116894006729126,1.945517897605896,1.8987945318222046,1.9187995195388794,1.9066598415374756,1.952518105506897
3600,1.890579104423523,1.9291542768478394,1.9194097518920898,1.8930675983428955,1.9096567630767822,1.9272385835647583
3800,1.9885005950927734,2.0242135524749756,1.9968518018722534,1.9618695974349976,1.940773367881775,1.9707167148590088
4000,2.0683236122131348,2.0742785930633545,2.061117649078369,2.0500407218933105,2.049832582473755,2.1010496616363525
4200,2.073713541030884,2.1253368854522705,2.0781705379486084,2.0753729343414307,2.0514824390411377,2.0995850563049316
4400,2.050960063934326,2.1201364994049072,2.053892135620117,2.0591025352478027,2.0462825298309326,2.0627670288085938
4600,,2.090766668319702,,,2.0347423553466797,
