noise_type,train_tag,test_tag,auc,within_tag_auc,retention,p_at_10,random_p,is_diagonal
duplicate,dolly-ratio10,dolly-ratio10,0.9855023935312648,0.9855023935312648,1.0,,0.08944723618090453,True
duplicate,dolly-ratio5,dolly-ratio5,0.9805126318371351,0.9805126318371351,1.0,,0.0473186119873817,True
duplicate,dolly-ratio10,dolly-ratio5,0.9898700024527839,0.9805126318371351,1.0095433452989957,0.4631578947368421,0.0473186119873817,False
duplicate,dolly-ratio5,dolly-ratio10,0.9859054493141851,0.9855023935312648,1.0004089850877744,0.77,0.08944723618090453,False
garbled,dolly-ratio10,dolly-ratio10,0.9978381096028155,0.9978381096028155,1.0,,0.09402654867256637,True
garbled,dolly-ratio5,dolly-ratio5,0.9914306551598396,0.9914306551598396,1.0,,0.0420353982300885,True
garbled,dolly-ratio10,dolly-ratio5,0.9969612252339857,0.9914306551598396,1.0055783730766872,0.4111111111111111,0.0420353982300885,False
garbled,dolly-ratio5,dolly-ratio10,0.9964231846584788,0.9978381096028155,0.9985820095156519,0.9,0.09402654867256637,False
keyword,dolly-ratio10,dolly-ratio10,0.5619131826028377,0.5619131826028377,1.0,,0.09602649006622517,True
keyword,dolly-ratio5,dolly-ratio5,0.6173931870669745,0.6173931870669745,1.0,,0.04415011037527594,True
keyword,dolly-ratio10,dolly-ratio5,0.9053406466512702,0.6173931870669745,1.466392350314451,0.2857142857142857,0.04415011037527594,False
keyword,dolly-ratio5,dolly-ratio10,0.7298640057260748,0.5619131826028377,1.298891053499176,0.38461538461538464,0.09602649006622517,False
near_duplicate,dolly-ratio10,dolly-ratio10,0.6745961573547781,0.6745961573547781,1.0,,0.09602649006622517,True
near_duplicate,dolly-ratio5,dolly-ratio5,0.7534497690531177,0.7534497690531177,1.0,,0.04415011037527594,True
near_duplicate,dolly-ratio10,dolly-ratio5,0.8972142032332563,0.7534497690531177,1.1908082530316675,0.27472527472527475,0.04415011037527594,False
near_duplicate,dolly-ratio5,dolly-ratio10,0.7936227246572074,0.6745961573547781,1.1764412174672851,0.42857142857142855,0.09602649006622517,False
template,dolly-ratio10,dolly-ratio10,0.999031619721275,0.999031619721275,1.0,,0.09602649006622517,True
template,dolly-ratio5,dolly-ratio5,0.9996824480369515,0.9996824480369515,1.0,,0.04415011037527594,True
template,dolly-ratio10,dolly-ratio5,0.9995381062355658,0.9996824480369515,0.999855612348032,0.43956043956043955,0.04415011037527594,False
template,dolly-ratio5,dolly-ratio10,0.999887724025655,0.999031619721275,1.0008569341425038,0.9560439560439561,0.09602649006622517,False
truncation,dolly-ratio10,dolly-ratio10,0.7661640684896499,0.7661640684896499,1.0,,0.09502762430939227,True
truncation,dolly-ratio5,dolly-ratio5,0.8030437614733227,0.8030437614733227,1.0,,0.0430939226519337,True
truncation,dolly-ratio10,dolly-ratio5,0.9625155445016877,0.8030437614733227,1.198584175208318,0.37777777777777777,0.0430939226519337,False
truncation,dolly-ratio5,dolly-ratio10,0.8762316494874635,0.7661640684896499,1.1436605885405084,0.5222222222222223,0.09502762430939227,False
unrelated,dolly-ratio10,dolly-ratio10,0.9242332830568125,0.9242332830568125,1.0,,0.09402654867256637,True
unrelated,dolly-ratio5,dolly-ratio5,0.9739607390300231,0.9739607390300231,1.0,,0.04415011037527594,True
unrelated,dolly-ratio10,dolly-ratio5,0.9839636258660508,0.9739607390300231,1.010270318335408,0.3956043956043956,0.04415011037527594,False
unrelated,dolly-ratio5,dolly-ratio10,0.9411621058679882,0.9242332830568125,1.0183166123981007,0.6111111111111112,0.09402654867256637,False
