tag,train_type,test_type,auc,auc_dir,within_run_auc,retention,p_at_10,random_p,is_diagonal
ratio10,duplicate,duplicate,0.9818,0.9818,0.9818,1.0,,0.0909,True
ratio10,garbled,duplicate,0.4837,0.5163,0.9818,0.493,0.0541,0.0909,False
ratio10,keyword,duplicate,0.5688,0.5688,0.9818,0.579,0.1357,0.0909,False
ratio10,unrelated,duplicate,0.6996,0.6996,0.9818,0.713,0.3416,0.0909,False
ratio10,duplicate,garbled,0.4612,0.5388,0.9961,0.463,0.0548,0.1,False
ratio10,garbled,garbled,0.9961,0.9961,0.9961,1.0,,0.1,True
ratio10,keyword,garbled,0.9544,0.9544,0.9961,0.958,0.7625,0.1,False
ratio10,unrelated,garbled,0.9151,0.9151,0.9961,0.919,0.5346,0.1,False
ratio10,duplicate,keyword,0.4869,0.5131,0.6866,0.709,0.0794,0.1,False
ratio10,garbled,keyword,0.6455,0.6455,0.6866,0.94,0.2259,0.1,False
ratio10,keyword,keyword,0.6866,0.6866,0.6866,1.0,,0.1,True
ratio10,unrelated,keyword,0.6632,0.6632,0.6866,0.966,0.2225,0.1,False
ratio10,duplicate,unrelated,0.7225,0.7225,0.9332,0.774,0.2047,0.1,False
ratio10,garbled,unrelated,0.7988,0.7988,0.9332,0.856,0.3833,0.1,False
ratio10,keyword,unrelated,0.8587,0.8587,0.9332,0.92,0.4832,0.1,False
ratio10,unrelated,unrelated,0.9332,0.9332,0.9332,1.0,,0.1,True
ratio05,duplicate,duplicate,0.986,0.986,0.986,1.0,,0.0476,True
ratio05,garbled,duplicate,0.4763,0.5237,0.986,0.483,0.0359,0.0476,False
ratio05,keyword,duplicate,0.6249,0.6249,0.986,0.634,0.1173,0.0476,False
ratio05,unrelated,duplicate,0.7516,0.7516,0.986,0.762,0.2249,0.0476,False
ratio05,duplicate,garbled,0.4708,0.5292,0.9925,0.474,0.0315,0.05,False
ratio05,garbled,garbled,0.9925,0.9925,0.9925,1.0,,0.05,True
ratio05,keyword,garbled,0.9832,0.9832,0.9925,0.991,0.4716,0.05,False
ratio05,unrelated,garbled,0.9181,0.9181,0.9925,0.925,0.2642,0.05,False
ratio05,duplicate,keyword,0.4969,0.5031,0.6967,0.713,0.0438,0.05,False
ratio05,garbled,keyword,0.6799,0.6799,0.6967,0.976,0.1389,0.05,False
ratio05,keyword,keyword,0.6967,0.6967,0.6967,1.0,,0.05,True
ratio05,unrelated,keyword,0.6912,0.6912,0.6967,0.992,0.1396,0.05,False
ratio05,duplicate,unrelated,0.773,0.773,0.9477,0.816,0.1273,0.05,False
ratio05,garbled,unrelated,0.8248,0.8248,0.9477,0.87,0.2245,0.05,False
ratio05,keyword,unrelated,0.8864,0.8864,0.9477,0.935,0.3053,0.05,False
ratio05,unrelated,unrelated,0.9477,0.9477,0.9477,1.0,,0.05,True
