feature,auc
text_nn_sim,0.8447185849084191
loss_mean,0.7025868515724477
loss_last,0.7224951221436071
loss_std,0.6432787662229692
loss_slope,0.6555126342823158
loss_min,0.7403380506404572
converge_epoch,0.5502060045480288
loss_curvature,0.6736114052952401
loss_rank,0.608633580516442
grad_norm_mean,0.7415352540522739
grad_norm_last,0.760656719328063
grad_norm_std,0.5431411417507583
grad_norm_slope,0.5990059022544848
cos_ref_mean,0.5512441955346958
cos_ref_last,0.5321899997188067
cos_ref_std,0.5076593738036677
cos_ref_slope,0.5188511095821078
cos_global_mean,0.5010831220301137
cos_global_last,0.5133682221749328
cos_global_std,0.5326054033917402
cos_global_slope,0.5135719768637061
grad_norm_cv,0.7507786809853008
update_contrib_mean,0.7546547218176173
max_token_loss,0.5543263803846072
frac_hard,0.5250661911683203
user_loss,0.5010344833329343
entropy,0.542900609098217
token_loss_skew,0.5325441551218792
token_loss_kurt,0.5120268319525791
n_hard,0.5148707087469286
hard_loss_mean,0.5561846079585198
hard_loss_max,0.554326380360909
hard_pos_peak,0.5023193631707994
hard_pos_std_mean,0.5148707087469288
hard_id_uniq,0.5147815525581757
hard_pos_jaccard,0.5000078336754038
