feature,auc
text_nn_sim,0.5072678832745099
loss_mean,0.6135947145133298
loss_last,0.6660938514095405
loss_std,0.802970556375574
loss_slope,0.8015051612854065
loss_min,0.6703987389130166
converge_epoch,0.6818050865590326
loss_curvature,0.7610058653076043
loss_rank,0.5446573434813087
grad_norm_mean,0.7902883146866921
grad_norm_last,0.6271977193198953
grad_norm_std,0.7621878848209878
grad_norm_slope,0.5753929739389213
cos_ref_mean,0.6040446497300808
cos_ref_last,0.5615279089758899
cos_ref_std,0.556740804412758
cos_ref_slope,0.6561012086310868
cos_global_mean,0.5119766710696558
cos_global_last,0.5029642999122769
cos_global_std,0.5337027159525449
cos_global_slope,0.506831094458157
grad_norm_cv,0.6329409183277226
update_contrib_mean,0.7870784067602984
max_token_loss,0.5251099762084974
frac_hard,0.5151582832024112
user_loss,0.5095202783548562
entropy,0.5190818006690269
token_loss_skew,0.5241332230107766
token_loss_kurt,0.5275133233393999
n_hard,0.5259380362911488
hard_loss_mean,0.535007926250022
hard_loss_max,0.5251099762084974
hard_pos_peak,0.5418028659203825
hard_pos_std_mean,0.5442518133414185
hard_id_uniq,0.5436168370828172
hard_pos_jaccard,0.5427017987905906
